elap_secs	cum_tps	int_tps	cum_ips	int_ips
1730	94.13	94.79	0.00	0.00
1740	94.13	94.59	0.00	0.00
1750	94.13	93.72	0.00	0.00
1760	94.12	91.69	0.00	0.00
1770	94.12	94.89	0.00	0.00
1780	94.13	95.07	0.00	0.00
1790	94.13	94.89	0.00	0.00
1800	94.14	95.07	0.00	0.00
1810	94.14	95.05	0.00	0.00
1820	94.14	94.00	0.00	0.00
1830	94.14	95.10	0.00	0.00
1840	94.15	94.35	0.00	0.00
1850	94.15	94.20	0.00	0.00
1860	94.15	94.50	0.00	0.00
1870	94.15	94.17	0.00	0.00
1880	94.15	94.19	0.00	0.00
1890	94.15	94.76	0.00	0.00
1900	94.15	94.11	0.00	0.00
1910	94.16	94.91	0.00	0.00
1920	94.16	94.17	0.00	0.00
1930	94.16	95.20	0.00	0.00
1940	94.16	94.67	0.00	0.00
1950	94.16	94.22	0.00	0.00
1960	94.17	94.74	0.00	0.00
1970	94.17	95.00	0.00	0.00
1980	94.17	93.67	0.00	0.00
1990	94.17	94.20	0.00	0.00
2000	94.17	94.35	0.00	0.00
2010	94.17	94.82	0.00	0.00
2020	94.17	94.11	0.00	0.00
2030	94.18	94.90	0.00	0.00
2040	94.17	93.90	0.00	0.00
2050	94.18	95.26	0.00	0.00
2060	94.19	95.40	0.00	0.00
2070	94.19	94.61	0.00	0.00
2080	94.19	94.31	0.00	0.00
2090	94.19	94.39	0.00	0.00
2100	94.19	94.01	0.00	0.00
2110	94.19	94.11	0.00	0.00
2120	94.19	94.26	0.00	0.00
2130	94.19	94.16	0.00	0.00
2140	94.19	94.28	0.00	0.00
2150	94.19	94.51	0.00	0.00
2160	94.19	94.44	0.00	0.00
2170	94.20	95.23	0.00	0.00
2180	94.20	95.20	0.00	0.00
2190	94.20	93.87	0.00	0.00
2200	94.21	95.59	0.00	0.00
2210	94.21	94.56	0.00	0.00
2220	94.21	94.32	0.00	0.00
2230	94.21	94.33	0.00	0.00
2240	94.21	93.74	0.00	0.00
2250	94.21	94.06	0.00	0.00
2260	94.21	94.91	0.00	0.00
2270	94.21	95.24	0.00	0.00
2280	94.21	93.87	0.00	0.00
2290	94.21	94.31	0.00	0.00
2300	94.22	95.00	0.00	0.00
2310	94.21	94.06	0.00	0.00
2320	94.22	94.65	0.00	0.00
2330	94.22	95.25	0.00	0.00
2340	94.22	94.20	0.00	0.00
2350	94.22	94.41	0.00	0.00
2360	94.22	94.26	0.00	0.00
2370	94.22	94.24	0.00	0.00
2380	94.22	94.72	0.00	0.00
2390	94.22	93.91	0.00	0.00
2400	94.23	94.97	0.00	0.00
2410	94.23	94.84	0.00	0.00
2420	94.23	94.47	0.00	0.00
2430	94.23	94.57	0.00	0.00
2440	94.23	94.65	0.00	0.00
2450	94.23	93.82	0.00	0.00
2460	94.23	93.88	0.00	0.00
2470	94.24	95.75	0.00	0.00
