elap_secs	cum_tps	int_tps	cum_ips	int_ips
1730	96.71	96.78	0.00	0.00
1740	96.71	96.19	0.00	0.00
1750	96.71	97.28	0.00	0.00
1760	96.71	96.75	0.00	0.00
1770	96.71	96.66	0.00	0.00
1780	96.71	96.72	0.00	0.00
1790	96.71	96.78	0.00	0.00
1800	96.71	96.79	0.00	0.00
1810	96.71	96.59	0.00	0.00
1820	96.71	96.45	0.00	0.00
1830	96.71	96.78	0.00	0.00
1840	96.71	96.98	0.00	0.00
1850	96.71	96.58	0.00	0.00
1860	96.71	96.70	0.00	0.00
1870	96.71	96.44	0.00	0.00
1880	96.71	97.05	0.00	0.00
1890	96.71	96.68	0.00	0.00
1900	96.71	96.87	0.00	0.00
1910	96.71	96.58	0.00	0.00
1920	96.71	96.49	0.00	0.00
1930	96.71	96.69	0.00	0.00
1940	96.71	96.75	0.00	0.00
1950	96.71	96.94	0.00	0.00
1960	96.71	96.80	0.00	0.00
1970	96.71	96.68	0.00	0.00
1980	96.71	96.58	0.00	0.00
1990	96.71	96.66	0.00	0.00
2000	96.71	96.78	0.00	0.00
2010	96.71	96.80	0.00	0.00
2020	96.71	96.68	0.00	0.00
2030	96.71	96.94	0.00	0.00
2040	96.71	96.77	0.00	0.00
2050	96.71	96.50	0.00	0.00
2060	96.71	96.40	0.00	0.00
2070	96.71	96.96	0.00	0.00
2080	96.71	96.91	0.00	0.00
2090	96.71	96.58	0.00	0.00
2100	96.71	96.92	0.00	0.00
2110	96.71	96.58	0.00	0.00
2120	96.71	96.66	0.00	0.00
2130	96.71	96.68	0.00	0.00
2140	96.71	96.65	0.00	0.00
2150	96.71	96.76	0.00	0.00
2160	96.71	96.77	0.00	0.00
2170	96.71	96.97	0.00	0.00
2180	96.71	96.35	0.00	0.00
2190	96.71	96.95	0.00	0.00
2200	96.71	96.68	0.00	0.00
2210	96.71	96.58	0.00	0.00
2220	96.71	96.77	0.00	0.00
2230	96.71	96.69	0.00	0.00
2240	96.71	96.83	0.00	0.00
2250	96.71	96.83	0.00	0.00
2260	96.71	96.59	0.00	0.00
2270	96.71	96.56	0.00	0.00
