sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 500, tps: 700.19, reads: 9848.21, writes: 2800.75, response time: 776.73ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 500, tps: 700.00, reads: 10032.43, writes: 2800.01, response time: 746.41ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 500, tps: 650.40, reads: 9527.61, writes: 2691.30, response time: 854.55ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 500, tps: 700.00, reads: 9777.57, writes: 2714.29, response time: 742.62ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 500, tps: 730.40, reads: 9891.40, writes: 2938.50, response time: 755.86ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 500, tps: 703.40, reads: 9967.10, writes: 2842.20, response time: 777.43ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 500, tps: 713.90, reads: 9959.60, writes: 2845.60, response time: 761.99ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 500, tps: 707.50, reads: 9942.90, writes: 2839.30, response time: 746.86ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 500, tps: 733.80, reads: 10222.30, writes: 2923.00, response time: 725.05ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 500, tps: 725.40, reads: 10189.90, writes: 2908.90, response time: 735.10ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 500, tps: 715.00, reads: 10148.30, writes: 2908.30, response time: 729.84ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 500, tps: 735.10, reads: 10170.10, writes: 2887.50, response time: 746.86ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 500, tps: 718.10, reads: 10038.70, writes: 2880.90, response time: 737.09ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 500, tps: 723.10, reads: 10072.50, writes: 2872.50, response time: 732.47ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 500, tps: 708.80, reads: 9982.30, writes: 2853.30, response time: 761.99ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 500, tps: 711.70, reads: 9952.80, writes: 2835.90, response time: 735.98ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 500, tps: 700.70, reads: 9846.80, writes: 2822.80, response time: 760.85ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 500, tps: 705.70, reads: 9856.50, writes: 2815.10, response time: 755.86ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 500, tps: 713.40, reads: 9944.00, writes: 2853.40, response time: 751.57ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 500, tps: 717.20, reads: 10098.40, writes: 2864.30, response time: 735.76ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 500, tps: 721.40, reads: 10016.40, writes: 2876.50, response time: 742.40ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 500, tps: 728.40, reads: 10276.60, writes: 2929.30, response time: 728.75ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 500, tps: 722.60, reads: 10106.80, writes: 2884.90, response time: 740.85ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 500, tps: 722.90, reads: 10086.10, writes: 2881.10, response time: 743.74ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 500, tps: 715.80, reads: 10044.90, writes: 2873.90, response time: 739.08ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 500, tps: 719.20, reads: 10050.60, writes: 2872.80, response time: 754.50ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 500, tps: 716.00, reads: 10043.70, writes: 2861.80, response time: 755.63ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 500, tps: 740.70, reads: 10320.00, writes: 2952.80, response time: 726.14ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 500, tps: 720.70, reads: 10109.30, writes: 2901.20, response time: 758.35ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 500, tps: 717.70, reads: 10068.30, writes: 2867.90, response time: 736.43ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 500, tps: 721.20, reads: 10113.80, writes: 2892.00, response time: 732.91ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 500, tps: 720.20, reads: 10083.00, writes: 2885.70, response time: 743.74ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 500, tps: 726.30, reads: 10153.70, writes: 2894.50, response time: 740.40ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 500, tps: 715.40, reads: 9979.90, writes: 2856.00, response time: 761.53ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 500, tps: 714.30, reads: 9972.30, writes: 2841.00, response time: 741.07ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 500, tps: 716.30, reads: 10035.80, writes: 2872.80, response time: 744.18ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 500, tps: 716.20, reads: 10088.20, writes: 2877.10, response time: 737.97ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 500, tps: 727.30, reads: 10146.45, writes: 2902.41, response time: 743.07ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 500, tps: 723.20, reads: 10118.75, writes: 2889.69, response time: 740.18ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 500, tps: 713.70, reads: 9995.80, writes: 2858.70, response time: 744.40ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 500, tps: 709.90, reads: 9936.80, writes: 2826.70, response time: 752.02ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 500, tps: 717.20, reads: 10010.30, writes: 2873.70, response time: 740.40ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 500, tps: 713.60, reads: 10021.40, writes: 2858.30, response time: 746.64ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 500, tps: 718.40, reads: 10066.50, writes: 2879.80, response time: 742.62ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 500, tps: 715.80, reads: 10040.50, writes: 2867.90, response time: 735.54ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 500, tps: 716.20, reads: 10012.80, writes: 2864.60, response time: 749.77ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 500, tps: 712.90, reads: 9976.30, writes: 2850.60, response time: 740.63ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 500, tps: 712.20, reads: 10028.60, writes: 2864.20, response time: 739.74ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 500, tps: 726.80, reads: 10073.30, writes: 2873.10, response time: 750.67ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 500, tps: 706.10, reads: 9915.40, writes: 2830.10, response time: 744.40ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 500, tps: 719.90, reads: 10093.60, writes: 2888.50, response time: 734.88ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 500, tps: 726.00, reads: 10158.90, writes: 2906.10, response time: 738.41ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 500, tps: 737.50, reads: 10336.70, writes: 2954.50, response time: 720.72ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 500, tps: 742.00, reads: 10355.51, writes: 2951.20, response time: 727.44ms (95%), errors: 0.00, reconnects:  0.00
