profile_level,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
pl0,oltp,2000000,8,6,226.00,225.00,218.04,451.00,8
pl0,oltp,2000000,8,7,227.00,228.00,179.01,455.00,8
pl0,oltp,2000000,8,8,227.00,228.00,210.79,455.00,8
pl0,oltp,2000000,8,9,226.00,222.00,200.15,448.00,8
pl0,oltp,2000000,8,10,224.00,225.00,192.28,449.00,8
pl0,oltp,2000000,8,11,229.00,231.00,209.97,460.00,8
pl0,oltp,2000000,8,12,226.00,225.00,198.78,451.00,8
pl0,oltp,2000000,8,13,226.00,228.00,183.40,454.00,8
pl0,oltp,2000000,8,14,224.00,222.00,198.01,446.00,8
pl0,oltp,2000000,8,15,230.00,228.00,205.62,458.00,8
pl0,oltp,2000000,8,16,224.00,225.00,232.12,449.00,8
pl0,oltp,2000000,8,17,227.00,228.00,185.61,455.00,8
pl0,oltp,2000000,8,18,228.00,231.00,172.43,459.00,8
pl0,oltp,2000000,8,19,224.00,222.00,192.23,446.00,8
pl0,oltp,2000000,8,20,226.00,225.00,212.25,451.00,8
pl0,oltp,2000000,8,21,226.00,225.00,251.89,451.00,8
pl0,oltp,2000000,8,22,225.00,225.00,218.63,450.00,8
pl0,oltp,2000000,8,23,229.00,231.00,192.23,460.00,8
pl0,oltp,2000000,8,24,226.00,223.00,231.98,449.00,8
pl0,oltp,2000000,8,25,225.00,227.00,198.84,452.00,8
pl0,oltp,2000000,8,26,227.00,228.00,218.04,455.00,8
pl0,oltp,2000000,8,27,226.00,225.00,192.28,451.00,8
pl0,oltp,2000000,8,28,225.00,225.00,245.26,450.00,8
pl0,oltp,2000000,8,29,230.00,234.00,205.62,464.00,8
pl0,oltp,2000000,8,30,224.00,219.00,185.61,443.00,8
pl0,oltp_ro,2000000,1,1,0.00,3070.15,1.01,3070.15,1
pl0,oltp_ro,2000000,1,2,0.00,2722.01,1.13,2722.01,1
pl0,oltp_ro,2000000,1,3,0.00,2734.98,1.12,2734.98,1
pl0,oltp_ro,2000000,1,4,0.00,3042.01,1.01,3042.01,1
pl0,oltp_ro,2000000,1,5,0.00,2979.01,1.02,2979.01,1
pl0,oltp_ro,2000000,1,6,0.00,2960.96,1.07,2960.96,1
pl0,oltp_ro,2000000,1,7,0.00,2973.03,1.08,2973.03,1
pl0,oltp_ro,2000000,1,8,0.00,2731.99,1.12,2731.99,1
pl0,oltp_ro,2000000,1,9,0.00,2726.00,1.12,2726.00,1
pl0,oltp_ro,2000000,1,10,0.00,3083.00,0.99,3083.00,1
pl0,oltp_ro,2000000,1,11,0.00,3050.99,1.04,3050.99,1
pl0,oltp_ro,2000000,1,12,0.00,2960.01,1.36,2960.01,1
pl0,oltp_ro,2000000,1,13,0.00,2529.98,1.38,2529.98,1
pl0,oltp_ro,2000000,1,14,0.00,2898.00,1.06,2898.00,1
pl0,oltp_ro,2000000,1,15,0.00,2688.02,1.34,2688.02,1
pl0,oltp_ro,2000000,1,16,0.00,2780.97,1.35,2780.97,1
pl0,oltp_ro,2000000,1,17,0.00,2856.05,1.06,2856.05,1
pl0,oltp_ro,2000000,1,18,0.00,2897.98,1.07,2897.98,1
pl0,oltp_ro,2000000,1,19,0.00,2292.00,1.37,2292.00,1
pl0,oltp_ro,2000000,1,20,0.00,2864.99,1.07,2864.99,1
pl0,oltp_ro,2000000,1,21,0.00,3006.00,1.05,3006.00,1
pl0,oltp_ro,2000000,1,22,0.00,2856.00,1.06,2856.00,1
pl0,oltp_ro,2000000,1,23,0.00,2871.01,1.06,2871.01,1
pl0,oltp_ro,2000000,1,24,0.00,3011.99,1.01,3011.99,1
pl0,oltp_ro,2000000,1,25,0.00,3015.99,1.02,3015.99,1
pl0,oltp_ro,2000000,1,26,0.00,2765.02,1.12,2765.02,1
pl0,oltp_ro,2000000,1,27,0.00,2991.01,1.01,2991.01,1
pl0,oltp_ro,2000000,1,28,0.00,2978.99,1.30,2978.99,1
