engine,memory,filesystem,configuration,distribution,test,i,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",1,"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
rocks,100,ext4,rocks0,uniform,oltp_ro,12,46.204,14.211,35.628,0.525,0.0,3.433,56919244.800,1638.400,32761682.300,71447132.200,0.0,0.0,692772.800,907620.200
rocks,100,ext4,rocks0,uniform,oltp_ro,13,45.948,14.275,35.899,0.456,0.0,3.421,47980544.0,1945.600,32735495.200,71541791.100,0.0,0.0,691631.200,905483.400
rocks,100,ext4,rocks0,uniform,oltp_ro,14,46.152,13.978,36.105,0.376,0.0,3.389,39623884.800,14336.0,32785899.400,71266877.800,0.0,0.0,690903.100,905526.200
rocks,100,ext4,rocks0,uniform,oltp_ro,15,46.188,14.085,36.254,0.311,0.0,3.161,32450560.0,15155.200,32745777.200,71527929.300,0.0,0.0,697155.600,908618.900
rocks,100,ext4,rocks0,uniform,oltp_ro,16,45.935,13.972,36.561,0.265,0.0,3.267,26636697.600,8601.600,32649772.200,71156737.300,0.0,0.0,690914.600,906622.100
rocks,100,ext4,rocks0,uniform,oltp_ro,17,45.982,13.868,36.603,0.220,0.0,3.326,22102016.0,1638.400,32690129.500,71489058.0,0.0,0.0,689348.600,905002.100
rocks,100,ext4,rocks0,uniform,oltp_ro,18,45.865,14.131,36.544,0.186,0.0,3.274,18545459.200,1638.400,32678955.400,71413408.300,0.0,0.0,691498.200,909247.500
rocks,100,ext4,rocks0,uniform,oltp_ro,19,45.845,13.782,36.744,0.151,0.0,3.479,15332147.200,6092.800,32712356.600,71332500.0,0.0,0.0,689550.400,905699.300
rocks,100,ext4,rocks0,uniform,oltp_ro,20,45.832,13.896,36.813,0.133,0.0,3.326,12860620.800,1638.400,32679360.800,71223497.0,0.0,0.0,693272.400,906377.900
wt,100,ext4,wt2,pareto,oltp_ro,2,15.184,4.486,79.181,0.256,0.0,0.892,2396178.554,44033744.335,0.0,0.0,17849.345,100760.284,218185.747,333031.410
wt,100,ext4,wt2,pareto,oltp_ro,3,11.789,3.372,71.112,13.289,0.0,0.439,228181555.200,31508121.600,6907699.500,58905405.700,0.0,0.0,148823.400,169274.500
wt,100,ext4,wt2,pareto,oltp_ro,4,50.524,13.703,28.545,4.463,0.0,2.765,332767641.600,4096.0,27058005.100,230903754.300,0.0,0.0,720281.0,985022.400
