engine,memory,filesystem,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,10,4601.92,13087.66,104.22,1533.77,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,20,5412.43,15316.57,92.18,1804.31,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,30,6404.01,18142.93,81.64,2134.50,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,40,8168.69,23150.19,55.84,2722.80,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,50,9473.84,26839.12,47.39,3158.08,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,60,10408.42,29492.95,43.19,3469.51,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,70,11399.36,32301.16,39.51,3799.72,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,80,12428.60,35236.90,36.27,4142.70,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,90,13627.10,38580.09,33.17,4542.40,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,100,14947.20,42346.70,30.08,4982.50,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,110,16569.35,46950.25,26.82,5523.08,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,120,18281.06,51772.66,23.67,6093.42,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,130,18983.45,53797.56,22.29,6328.18,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,140,19371.75,54891.25,21.68,6457.02,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,150,19631.20,55621.20,21.23,6543.50,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,160,19648.08,55672.25,21.23,6548.59,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,170,18471.21,52340.13,22.88,6158.20,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,180,19768.01,56016.12,20.87,6589.10,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,190,19757.70,55974.21,20.95,6585.90,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,200,19772.16,56005.87,20.87,6590.99,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,210,19731.15,55901.84,20.93,6576.82,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,220,19774.09,56051.57,20.81,6591.60,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,100,230,19792.10,56067.60,20.71,6597.20,100
rocks,100,ext4,rocks0,uniform,oltp,psfm,60000000,98,240,19827.00,56148.30,20.66,6609.10,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,10,0.00,18258.21,68.56,2143.57,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,20,0.00,21614.53,59.26,2542.40,100
