engine,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
ft,oltp,2000000,1,10,333.91,1559.27,11.78,111.30,1
ft,oltp,2000000,1,20,345.60,1612.90,11.30,115.20,1
ft,oltp,2000000,1,30,347.40,1620.80,11.16,115.80,1
ft,oltp,2000000,1,40,351.60,1641.40,11.06,117.20,1
ft,oltp,2000000,1,50,408.00,1903.90,9.48,136.00,1
ft,oltp,2000000,1,60,429.60,2004.60,8.59,143.20,1
ft,oltp,2000000,1,70,406.20,1895.90,8.96,135.40,1
ft,oltp,2000000,1,80,399.60,1864.70,8.93,133.20,1
ft,oltp,2000000,1,90,401.10,1871.30,8.91,133.70,1
ft,oltp,2000000,1,100,398.10,1857.60,8.91,132.70,1
ft,oltp,2000000,1,110,398.10,1857.80,8.93,132.70,1
ft,oltp,2000000,1,120,397.80,1857.20,9.02,132.60,1
ft,oltp,2000000,1,130,390.90,1824.10,9.24,130.30,1
ft,oltp,2000000,1,140,398.70,1860.60,8.92,132.90,1
ft,oltp,2000000,1,150,393.00,1833.90,9.08,131.00,1
ft,oltp,2000000,1,160,385.20,1797.40,9.39,128.40,1
ft,oltp,2000000,1,170,383.70,1790.80,9.56,127.90,1
ft,oltp,2000000,1,180,377.40,1761.20,9.76,125.80,1
ft,oltp,2000000,1,190,375.00,1749.90,9.84,125.00,1
ft,oltp,2000000,1,200,359.40,1677.30,10.26,119.80,1
ft,oltp,2000000,1,210,365.10,1703.90,10.00,121.70,1
ft,oltp,2000000,1,220,364.80,1702.60,10.04,121.60,1
ft,oltp,2000000,1,230,360.60,1682.60,10.16,120.20,1
ft,oltp,2000000,1,240,354.30,1653.50,10.48,118.10,1
ft,oltp,2000000,1,250,352.80,1646.10,10.61,117.60,1
ft,oltp,2000000,1,260,350.40,1635.40,10.44,116.80,1
ft,oltp,2000000,1,270,350.40,1635.30,10.60,116.80,1
ft,oltp,2000000,1,280,346.20,1615.30,10.59,115.40,1
ft,oltp,2000000,1,290,346.20,1615.00,10.79,115.40,1
ft,oltp,2000000,1,300,346.20,1616.20,10.73,115.40,1
ft,oltp,2000000,1,310,341.70,1594.90,10.87,113.90,1
ft,oltp,2000000,1,320,327.30,1527.40,11.16,109.10,1
ft,oltp,2000000,1,330,340.80,1590.40,10.79,113.60,1
ft,oltp,2000000,1,340,341.40,1592.90,10.76,113.80,1
ft,oltp,2000000,1,350,343.80,1604.40,10.75,114.60,1
ft,oltp,2000000,1,360,333.90,1557.70,10.95,111.30,1
ft,oltp,2000000,1,370,333.00,1554.90,10.79,111.00,1
ft,oltp,2000000,1,380,335.10,1563.50,10.78,111.70,1
ft,oltp,2000000,1,390,331.00,1544.50,10.91,110.30,1
ft,oltp,2000000,1,400,333.50,1556.50,10.85,111.20,1
ft,oltp,2000000,1,410,330.90,1544.40,10.93,110.30,1
ft,oltp,2000000,1,420,328.80,1534.40,10.90,109.60,1
ft,oltp,2000000,1,430,330.30,1541.20,11.00,110.10,1
ft,oltp,2000000,1,440,329.10,1536.10,10.94,109.70,1
ft,oltp,2000000,1,450,327.90,1529.90,11.06,109.30,1
ft,oltp,2000000,1,460,328.50,1532.90,11.01,109.50,1
ft,oltp,2000000,1,470,327.30,1527.50,11.02,109.10,1
ft,oltp,2000000,1,480,328.80,1534.10,10.90,109.60,1
ft,oltp,2000000,1,490,329.40,1537.40,10.84,109.80,1
ft,oltp,2000000,1,500,326.40,1523.50,11.04,108.80,1
ft,oltp,2000000,1,510,326.10,1521.50,11.09,108.70,1
ft,oltp,2000000,1,520,325.20,1517.90,11.07,108.40,1
ft,oltp,2000000,1,530,324.90,1516.10,11.17,108.30,1
ft,oltp,2000000,1,540,314.40,1467.20,11.34,104.80,1
ft,oltp,2000000,1,550,325.80,1520.50,11.05,108.60,1
ft,oltp,2000000,1,560,324.00,1511.90,11.12,108.00,1
ft,oltp,2000000,1,570,317.70,1482.60,11.29,105.90,1
