tot_inserts	elap_secs	cum_ips	int_ips
85853000	1930	44482.41	41928.09
86280000	1940	44472.71	42606.27
86598000	1950	44409.19	32004.83
87032000	1960	44403.24	43248.63
87448000	1970	44388.43	41492.12
87831000	1980	44357.05	38193.06
88240000	1990	44340.75	41097.27
88678000	2000	44337.09	43612.47
89055000	2010	44305.77	37992.54
89339000	2020	44225.34	28182.99
89771000	2030	44221.54	43447.65
90216000	2040	44223.40	44602.59
90588000	2050	44188.66	37118.34
91020000	2060	44182.99	43023.60
91364000	2070	44135.13	34303.95
91748000	2080	44109.32	38721.39
92136000	2090	44083.30	38687.81
92556000	2100	44072.88	41899.44
92991000	2110	44071.00	43674.70
93313000	2120	44014.67	32148.56
93657000	2130	43968.83	34283.44
94056000	2140	43949.41	39820.36
94480000	2150	43943.88	42750.55
94791000	2160	43883.89	31019.35
95228000	2170	43882.52	43586.67
95684000	2180	43890.07	45527.16
96029000	2190	43846.86	34441.45
96725000	2200	43965.51	70161.29
97444000	2210	44090.89	71535.17
98081000	2220	44179.77	63878.86
98410000	2230	44128.74	32824.50
98968000	2240	44180.43	55683.07
99471000	2250	44208.96	50644.38
99955000	2260	44226.94	48260.05
100467000	2270	44258.32	51374.67
100964000	2280	44281.54	49536.53
101435000	2290	44292.98	46889.00
101882000	2300	44296.06	45006.04
102342000	2310	44302.44	45762.04
102792000	2320	44305.01	44896.74
103236000	2330	44306.29	44605.18
103657000	2340	44296.16	41944.80
103839000	2350	44186.55	18339.38
103982000	2360	44059.70	14284.29
104363000	2370	44034.11	38008.78
104829000	2380	44044.61	46530.20
105288000	2390	44051.81	45758.15
105690000	2400	44037.33	40548.72
106137000	2410	44038.90	44411.33
106599000	2420	44049.06	46516.31
107016000	2430	44038.42	41476.03
107409000	2440	44019.94	39505.43
107851000	2450	44019.68	43958.23
108291000	2460	44020.39	44194.46
108652000	2470	43987.60	35952.59
109081000	2480	43982.94	42835.75
109486000	2490	43969.86	40707.61
109912000	2500	43963.83	42468.35
110295000	2510	43940.99	38238.82
110730000	2520	43939.99	43687.86
111150000	2530	43931.89	41895.26
111524000	2540	43905.86	37332.80
111894000	2550	43879.86	37234.58
112337000	2560	43881.04	44180.71
112767000	2570	43877.27	42914.17
113154000	2580	43856.64	38572.71
113592000	2590	43857.03	43958.25
114022000	2600	43854.45	43181.36
114389000	2610	43826.78	36645.03
114701000	2620	43778.09	31106.68
115146000	2630	43781.47	44669.75
115581000	2640	43779.31	43214.78
115932000	2650	43746.29	35043.93
116368000	2660	43746.40	43775.10
116733000	2670	43718.69	36372.70
117138000	2680	43707.34	40666.73
117473000	2690	43669.14	33446.49
117906000	2700	43668.82	43583.29
118336000	2710	43666.08	42927.02
118695000	2720	43637.19	35824.77
119039000	2730	43602.83	34286.85
119441000	2740	43590.16	40135.78
119871000	2750	43588.82	43220.42
120531000	2760	43669.64	65841.98
121287000	2770	43785.87	76063.99
121918000	2780	43855.00	62961.48
122412000	2790	43874.07	49149.34
122960000	2800	43914.18	55180.75
123503000	2810	43950.60	54116.01
124013000	2820	43975.21	50872.82
124516000	2830	43997.28	50209.62
125022000	2840	44020.30	50524.21
125434000	2850	44011.42	41473.73
125930000	2860	44030.24	49367.97
126342000	2870	44021.40	41477.90
126803000	2880	44028.27	45994.21
127251000	2890	44031.08	44840.36
127670000	2900	44023.27	41774.68
128065000	2910	44007.47	39432.96
128506000	2920	44007.58	44038.35
128949000	2930	44009.85	44679.78
129330000	2940	43989.00	37910.45
129768000	2950	43987.96	43682.06
130228000	2960	43994.56	45940.28
