sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 2000
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 2000, tps: 405.59, reads: 8427.52, writes: 1640.36, response time: 3787.61ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 2000, tps: 604.40, reads: 7939.91, writes: 2400.40, response time: 3614.81ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 2000, tps: 600.30, reads: 7854.60, writes: 2408.20, response time: 3583.57ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 2000, tps: 599.80, reads: 7725.20, writes: 2393.80, response time: 3546.22ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 2000, tps: 597.20, reads: 7636.39, writes: 2398.00, response time: 3555.79ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 2000, tps: 427.20, reads: 8216.71, writes: 2037.70, response time: 3592.16ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 2000, tps: 587.80, reads: 8289.80, writes: 2090.50, response time: 3533.50ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 2000, tps: 603.00, reads: 8124.70, writes: 2405.00, response time: 3507.16ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 2000, tps: 601.80, reads: 8107.10, writes: 2392.30, response time: 3521.89ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 2000, tps: 588.10, reads: 7921.40, writes: 2372.60, response time: 3507.16ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 2000, tps: 598.20, reads: 7862.80, writes: 2322.90, response time: 3549.40ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 2000, tps: 597.60, reads: 7934.70, writes: 2393.80, response time: 3568.58ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 2000, tps: 566.90, reads: 8033.50, writes: 2368.90, response time: 3507.16ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 2000, tps: 466.90, reads: 8290.20, writes: 2032.50, response time: 3516.62ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 2000, tps: 599.20, reads: 8262.70, writes: 2126.50, response time: 3534.56ms (95%), errors: 0.00, reconnects:  0.00
