130,27830.26,0.08,res.ps57.long.try3,2
140,27763.69,0.08,res.ps57.long.try3,2
150,27912.51,0.08,res.ps57.long.try3,2
160,28068.13,0.08,res.ps57.long.try3,2
170,27694.27,0.08,res.ps57.long.try3,2
180,27765.34,0.08,res.ps57.long.try3,2
190,29521.97,0.07,res.ps57.long.try3,2
200,27679.04,0.08,res.ps57.long.try3,2
210,27862.96,0.08,res.ps57.long.try3,2
220,27759.74,0.08,res.ps57.long.try3,2
230,30480.75,0.07,res.ps57.long.try3,2
240,29934.55,0.07,res.ps57.long.try3,2
250,27851.36,0.08,res.ps57.long.try3,2
260,27824.80,0.08,res.ps57.long.try3,2
270,27992.70,0.08,res.ps57.long.try3,2
280,27828.19,0.08,res.ps57.long.try3,2
290,27854.80,0.08,res.ps57.long.try3,2
300,29667.55,0.07,res.ps57.long.try3,2
10,41053.74,0.08,res.ps57.long.query_rt_plugin,3
20,42434.92,0.08,res.ps57.long.query_rt_plugin,3
30,41388.11,0.08,res.ps57.long.query_rt_plugin,3
40,41804.20,0.08,res.ps57.long.query_rt_plugin,3
50,40590.13,0.08,res.ps57.long.query_rt_plugin,3
60,40904.39,0.08,res.ps57.long.query_rt_plugin,3
70,41285.46,0.08,res.ps57.long.query_rt_plugin,3
80,41176.01,0.08,res.ps57.long.query_rt_plugin,3
90,41618.27,0.08,res.ps57.long.query_rt_plugin,3
100,41034.39,0.08,res.ps57.long.query_rt_plugin,3
110,40311.61,0.08,res.ps57.long.query_rt_plugin,3
120,40241.55,0.08,res.ps57.long.query_rt_plugin,3
130,40686.85,0.08,res.ps57.long.query_rt_plugin,3
140,40684.73,0.08,res.ps57.long.query_rt_plugin,3
150,40464.47,0.08,res.ps57.long.query_rt_plugin,3
160,40582.04,0.08,res.ps57.long.query_rt_plugin,3
170,41796.33,0.08,res.ps57.long.query_rt_plugin,3
180,40704.66,0.08,res.ps57.long.query_rt_plugin,3
190,40556.66,0.08,res.ps57.long.query_rt_plugin,3
200,40484.84,0.08,res.ps57.long.query_rt_plugin,3
210,41033.37,0.08,res.ps57.long.query_rt_plugin,3
220,40785.54,0.08,res.ps57.long.query_rt_plugin,3
230,40413.34,0.08,res.ps57.long.query_rt_plugin,3
240,41692.85,0.08,res.ps57.long.query_rt_plugin,3
250,41848.86,0.08,res.ps57.long.query_rt_plugin,3
260,42019.55,0.08,res.ps57.long.query_rt_plugin,3
270,41726.36,0.08,res.ps57.long.query_rt_plugin,3
280,41595.84,0.08,res.ps57.long.query_rt_plugin,3
290,41768.36,0.08,res.ps57.long.query_rt_plugin,3
10,39748.43,0.08,res.ps57.long.try3,3
20,42671.21,0.08,res.ps57.long.try3,3
30,42863.48,0.08,res.ps57.long.try3,3
40,43199.01,0.08,res.ps57.long.try3,3
50,43501.23,0.08,res.ps57.long.try3,3
60,43486.77,0.08,res.ps57.long.try3,3
70,43462.72,0.08,res.ps57.long.try3,3
80,42609.02,0.08,res.ps57.long.try3,3
90,42915.89,0.08,res.ps57.long.try3,3
100,42016.18,0.08,res.ps57.long.try3,3
110,41647.93,0.08,res.ps57.long.try3,3
120,41470.60,0.08,res.ps57.long.try3,3
130,42048.40,0.08,res.ps57.long.try3,3
140,41894.60,0.08,res.ps57.long.try3,3
150,41833.60,0.08,res.ps57.long.try3,3
160,41904.70,0.08,res.ps57.long.try3,3
170,42274.37,0.08,res.ps57.long.try3,3
180,41820.53,0.08,res.ps57.long.try3,3
190,40961.20,0.08,res.ps57.long.try3,3
200,40595.80,0.08,res.ps57.long.try3,3
210,42073.79,0.08,res.ps57.long.try3,3
220,42120.50,0.08,res.ps57.long.try3,3
230,41782.70,0.08,res.ps57.long.try3,3
240,44640.97,0.08,res.ps57.long.try3,3
250,44634.43,0.08,res.ps57.long.try3,3
260,41657.71,0.08,res.ps57.long.try3,3
270,42206.49,0.08,res.ps57.long.try3,3
280,42005.90,0.08,res.ps57.long.try3,3
290,43300.60,0.08,res.ps57.long.try3,3
300,41902.39,0.08,res.ps57.long.try3,3
10,52763.73,0.09,res.ps57.long.query_rt_plugin,4
20,57978.71,0.08,res.ps57.long.query_rt_plugin,4
30,56144.68,0.08,res.ps57.long.query_rt_plugin,4
40,56838.37,0.08,res.ps57.long.query_rt_plugin,4
50,57777.63,0.08,res.ps57.long.query_rt_plugin,4
60,56287.44,0.08,res.ps57.long.query_rt_plugin,4
70,57817.77,0.08,res.ps57.long.query_rt_plugin,4
80,55699.49,0.08,res.ps57.long.query_rt_plugin,4
90,55582.80,0.09,res.ps57.long.query_rt_plugin,4
100,58031.37,0.08,res.ps57.long.query_rt_plugin,4
110,58313.73,0.08,res.ps57.long.query_rt_plugin,4
120,58208.09,0.08,res.ps57.long.query_rt_plugin,4
130,54706.45,0.09,res.ps57.long.query_rt_plugin,4
140,55895.97,0.08,res.ps57.long.query_rt_plugin,4
150,55713.80,0.08,res.ps57.long.query_rt_plugin,4
160,55856.77,0.09,res.ps57.long.query_rt_plugin,4
170,54364.72,0.09,res.ps57.long.query_rt_plugin,4
180,55799.68,0.08,res.ps57.long.query_rt_plugin,4
190,54771.79,0.09,res.ps57.long.query_rt_plugin,4
200,54930.33,0.08,res.ps57.long.query_rt_plugin,4
210,55293.79,0.08,res.ps57.long.query_rt_plugin,4
220,55486.41,0.08,res.ps57.long.query_rt_plugin,4
230,56184.36,0.08,res.ps57.long.query_rt_plugin,4
240,55219.84,0.08,res.ps57.long.query_rt_plugin,4
250,54239.49,0.09,res.ps57.long.query_rt_plugin,4
260,54647.29,0.09,res.ps57.long.query_rt_plugin,4
270,54741.27,0.09,res.ps57.long.query_rt_plugin,4
280,54224.14,0.09,res.ps57.long.query_rt_plugin,4
290,54814.87,0.09,res.ps57.long.query_rt_plugin,4
10,52891.15,0.08,res.ps57.long.try3,4
20,57392.99,0.08,res.ps57.long.try3,4
30,56736.22,0.08,res.ps57.long.try3,4
40,56711.72,0.08,res.ps57.long.try3,4
50,56086.30,0.08,res.ps57.long.try3,4
60,56160.16,0.08,res.ps57.long.try3,4
70,58798.64,0.08,res.ps57.long.try3,4
80,56701.80,0.08,res.ps57.long.try3,4
90,56640.29,0.08,res.ps57.long.try3,4
100,55675.55,0.08,res.ps57.long.try3,4
110,56613.95,0.08,res.ps57.long.try3,4
120,56606.40,0.08,res.ps57.long.try3,4
130,58641.51,0.08,res.ps57.long.try3,4
140,58927.09,0.08,res.ps57.long.try3,4
150,59211.31,0.07,res.ps57.long.try3,4
160,57726.70,0.08,res.ps57.long.try3,4
170,56909.39,0.08,res.ps57.long.try3,4
180,57272.11,0.08,res.ps57.long.try3,4
190,56669.40,0.08,res.ps57.long.try3,4
200,57436.20,0.08,res.ps57.long.try3,4
210,57659.20,0.08,res.ps57.long.try3,4
220,58178.60,0.08,res.ps57.long.try3,4
230,55289.59,0.08,res.ps57.long.try3,4
240,58265.61,0.08,res.ps57.long.try3,4
250,57218.00,0.08,res.ps57.long.try3,4
260,57882.50,0.08,res.ps57.long.try3,4
270,57368.10,0.08,res.ps57.long.try3,4
280,55409.20,0.08,res.ps57.long.try3,4
290,55436.61,0.08,res.ps57.long.try3,4
300,56349.31,0.08,res.ps57.long.try3,4
10,62016.45,0.08,res.ps57.long.query_rt_plugin,5
20,67910.09,0.08,res.ps57.long.query_rt_plugin,5
30,68104.95,0.08,res.ps57.long.query_rt_plugin,5
40,68099.94,0.09,res.ps57.long.query_rt_plugin,5
50,67799.60,0.08,res.ps57.long.query_rt_plugin,5
60,67668.72,0.09,res.ps57.long.query_rt_plugin,5
70,69893.38,0.08,res.ps57.long.query_rt_plugin,5
80,71035.28,0.08,res.ps57.long.query_rt_plugin,5
90,72642.10,0.08,res.ps57.long.query_rt_plugin,5
100,69687.62,0.08,res.ps57.long.query_rt_plugin,5
110,71114.50,0.08,res.ps57.long.query_rt_plugin,5
120,71757.10,0.08,res.ps57.long.query_rt_plugin,5
130,71319.09,0.08,res.ps57.long.query_rt_plugin,5
140,70535.69,0.08,res.ps57.long.query_rt_plugin,5
150,68778.20,0.08,res.ps57.long.query_rt_plugin,5
160,70585.34,0.08,res.ps57.long.query_rt_plugin,5
170,69728.67,0.08,res.ps57.long.query_rt_plugin,5
180,68762.66,0.08,res.ps57.long.query_rt_plugin,5
190,70670.64,0.08,res.ps57.long.query_rt_plugin,5
200,69762.10,0.08,res.ps57.long.query_rt_plugin,5
210,69820.91,0.08,res.ps57.long.query_rt_plugin,5
