10,425.11,2.58,res.mysql57.long,1
20,422.60,2.58,res.mysql57.long,1
30,415.90,2.62,res.mysql57.long,1
40,414.00,2.63,res.mysql57.long,1
50,423.80,2.57,res.mysql57.long,1
60,418.90,2.60,res.mysql57.long,1
70,414.90,2.63,res.mysql57.long,1
80,419.20,2.59,res.mysql57.long,1
90,422.20,2.59,res.mysql57.long,1
100,421.80,2.60,res.mysql57.long,1
110,426.10,2.57,res.mysql57.long,1
120,434.30,2.54,res.mysql57.long,1
130,438.00,2.51,res.mysql57.long,1
140,422.10,2.59,res.mysql57.long,1
150,420.50,2.60,res.mysql57.long,1
160,429.60,2.57,res.mysql57.long,1
170,425.10,2.58,res.mysql57.long,1
180,421.50,2.60,res.mysql57.long,1
190,426.60,2.55,res.mysql57.long,1
200,423.50,2.59,res.mysql57.long,1
210,426.80,2.58,res.mysql57.long,1
220,428.70,2.57,res.mysql57.long,1
230,424.00,2.56,res.mysql57.long,1
240,423.80,2.63,res.mysql57.long,1
250,419.60,2.61,res.mysql57.long,1
260,427.40,2.57,res.mysql57.long,1
270,427.80,2.63,res.mysql57.long,1
280,420.60,2.60,res.mysql57.long,1
290,423.40,2.58,res.mysql57.long,1
300,433.30,2.55,res.mysql57.long,1
10,317.51,3.46,res.mysql57.proxysql,1
20,318.50,3.44,res.mysql57.proxysql,1
30,316.80,3.46,res.mysql57.proxysql,1
40,317.10,3.46,res.mysql57.proxysql,1
50,318.20,3.44,res.mysql57.proxysql,1
60,316.50,3.47,res.mysql57.proxysql,1
70,317.30,3.46,res.mysql57.proxysql,1
80,317.10,3.48,res.mysql57.proxysql,1
90,318.10,3.45,res.mysql57.proxysql,1
100,316.10,3.47,res.mysql57.proxysql,1
110,317.90,3.47,res.mysql57.proxysql,1
120,318.00,3.46,res.mysql57.proxysql,1
130,318.30,3.46,res.mysql57.proxysql,1
140,316.70,3.45,res.mysql57.proxysql,1
150,316.60,3.46,res.mysql57.proxysql,1
160,314.40,3.49,res.mysql57.proxysql,1
170,315.40,3.47,res.mysql57.proxysql,1
180,317.00,3.46,res.mysql57.proxysql,1
190,317.70,3.47,res.mysql57.proxysql,1
200,318.00,3.43,res.mysql57.proxysql,1
210,317.30,3.44,res.mysql57.proxysql,1
220,315.60,3.46,res.mysql57.proxysql,1
230,316.90,3.46,res.mysql57.proxysql,1
240,317.70,3.45,res.mysql57.proxysql,1
250,319.50,3.42,res.mysql57.proxysql,1
260,319.00,3.46,res.mysql57.proxysql,1
270,318.10,3.44,res.mysql57.proxysql,1
280,317.30,3.44,res.mysql57.proxysql,1
290,318.60,3.44,res.mysql57.proxysql,1
300,316.30,3.46,res.mysql57.proxysql,1
10,315.98,3.45,res.mysql57.proxysql.16threads,1
20,317.10,3.43,res.mysql57.proxysql.16threads,1
30,317.50,3.44,res.mysql57.proxysql.16threads,1
40,317.30,3.44,res.mysql57.proxysql.16threads,1
50,317.10,3.45,res.mysql57.proxysql.16threads,1
60,317.10,3.44,res.mysql57.proxysql.16threads,1
70,317.40,3.45,res.mysql57.proxysql.16threads,1
80,315.90,3.46,res.mysql57.proxysql.16threads,1
90,317.90,3.45,res.mysql57.proxysql.16threads,1
100,317.20,3.46,res.mysql57.proxysql.16threads,1
110,318.30,3.44,res.mysql57.proxysql.16threads,1
120,317.60,3.43,res.mysql57.proxysql.16threads,1
130,317.80,3.45,res.mysql57.proxysql.16threads,1
140,317.70,3.45,res.mysql57.proxysql.16threads,1
150,317.50,3.44,res.mysql57.proxysql.16threads,1
160,316.10,3.45,res.mysql57.proxysql.16threads,1
170,317.30,3.45,res.mysql57.proxysql.16threads,1
180,317.70,3.44,res.mysql57.proxysql.16threads,1
190,316.20,3.45,res.mysql57.proxysql.16threads,1
200,315.70,3.47,res.mysql57.proxysql.16threads,1
210,317.20,3.45,res.mysql57.proxysql.16threads,1
220,318.00,3.43,res.mysql57.proxysql.16threads,1
