10,232.10,4.42,mysql57,1
20,232.10,4.42,mysql57,1
30,232.20,4.42,mysql57,1
40,232.20,4.41,mysql57,1
50,232.20,4.42,mysql57,1
60,232.20,4.42,mysql57,1
70,232.20,4.42,mysql57,1
80,231.80,4.43,mysql57,1
90,231.60,4.43,mysql57,1
100,230.90,4.44,mysql57,1
110,231.30,4.43,mysql57,1
120,231.10,4.44,mysql57,1
130,231.10,4.44,mysql57,1
140,231.10,4.44,mysql57,1
150,231.10,4.44,mysql57,1
160,231.20,4.44,mysql57,1
170,230.90,4.44,mysql57,1
180,231.00,4.44,mysql57,1
190,230.90,4.44,mysql57,1
200,230.90,4.44,mysql57,1
210,231.00,4.45,mysql57,1
220,231.00,4.44,mysql57,1
230,231.30,4.43,mysql57,1
240,231.20,4.43,mysql57,1
250,231.30,4.44,mysql57,1
260,230.90,4.45,mysql57,1
270,231.00,4.44,mysql57,1
280,230.80,4.44,mysql57,1
290,231.00,4.44,mysql57,1
300,231.00,4.44,mysql57,1
310,230.90,4.44,mysql57,1
320,231.00,4.44,mysql57,1
330,231.10,4.45,mysql57,1
340,231.20,4.43,mysql57,1
350,231.00,4.44,mysql57,1
360,230.90,4.45,mysql57,1
370,231.00,4.44,mysql57,1
380,231.10,4.44,mysql57,1
390,231.20,4.44,mysql57,1
400,231.20,4.44,mysql57,1
410,231.20,4.44,mysql57,1
420,231.20,4.44,mysql57,1
430,231.20,4.44,mysql57,1
440,231.20,4.44,mysql57,1
450,231.20,4.44,mysql57,1
460,230.90,4.44,mysql57,1
470,230.90,4.44,mysql57,1
480,230.90,4.44,mysql57,1
490,230.90,4.45,mysql57,1
500,230.90,4.44,mysql57,1
510,230.80,4.44,mysql57,1
520,230.90,4.44,mysql57,1
530,231.00,4.44,mysql57,1
540,230.80,4.44,mysql57,1
550,231.10,4.44,mysql57,1
560,231.30,4.44,mysql57,1
570,230.80,4.44,mysql57,1
580,231.00,4.44,mysql57,1
590,230.90,4.44,mysql57,1
600,230.80,4.44,mysql57,1
610,230.90,4.45,mysql57,1
620,231.00,4.45,mysql57,1
630,230.80,4.45,mysql57,1
640,230.70,4.45,mysql57,1
650,230.50,4.45,mysql57,1
660,230.40,4.45,mysql57,1
670,230.60,4.45,mysql57,1
680,231.00,4.44,mysql57,1
690,231.00,4.44,mysql57,1
700,231.00,4.44,mysql57,1
710,230.60,4.45,mysql57,1
720,230.70,4.45,mysql57,1
730,231.00,4.44,mysql57,1
740,231.40,4.43,mysql57,1
750,231.30,4.43,mysql57,1
760,231.30,4.43,mysql57,1
770,231.20,4.44,mysql57,1
780,231.20,4.44,mysql57,1
790,231.20,4.43,mysql57,1
800,231.30,4.43,mysql57,1
810,231.20,4.44,mysql57,1
820,230.60,4.45,mysql57,1
830,230.70,4.45,mysql57,1
840,231.10,4.44,mysql57,1
850,231.20,4.44,mysql57,1
860,231.30,4.44,mysql57,1
870,231.20,4.44,mysql57,1
880,230.70,4.44,mysql57,1
890,230.50,4.45,mysql57,1
900,230.60,4.45,mysql57,1
10,452.60,4.54,mysql57,2
20,452.30,4.53,mysql57,2
30,452.30,4.53,mysql57,2
40,451.90,4.53,mysql57,2
50,452.20,4.53,mysql57,2
60,452.00,4.54,mysql57,2
70,451.80,4.53,mysql57,2
80,451.80,4.54,mysql57,2
90,451.80,4.54,mysql57,2
100,451.80,4.53,mysql57,2
110,451.80,4.53,mysql57,2
120,451.50,4.53,mysql57,2
130,451.40,4.54,mysql57,2
140,451.20,4.54,mysql57,2
150,451.10,4.55,mysql57,2
160,452.10,4.53,mysql57,2
170,452.00,4.53,mysql57,2
180,452.10,4.54,mysql57,2
190,452.40,4.53,mysql57,2
200,452.20,4.53,mysql57,2
210,452.40,4.52,mysql57,2
220,453.60,4.53,mysql57,2
230,452.40,4.53,mysql57,2
240,452.50,4.54,mysql57,2
250,451.60,4.54,mysql57,2
260,451.70,4.54,mysql57,2
270,451.40,4.54,mysql57,2
280,452.20,4.54,mysql57,2
290,451.80,4.53,mysql57,2
300,452.70,4.53,mysql57,2
310,451.50,4.54,mysql57,2
320,451.50,4.54,mysql57,2
330,451.00,4.54,mysql57,2
340,451.20,4.54,mysql57,2
350,451.40,4.54,mysql57,2
360,451.00,4.55,mysql57,2
370,451.80,4.54,mysql57,2
380,451.60,4.54,mysql57,2
390,451.60,4.54,mysql57,2
400,452.00,4.53,mysql57,2
410,451.40,4.54,mysql57,2
420,451.60,4.54,mysql57,2
430,451.90,4.53,mysql57,2
440,451.40,4.54,mysql57,2
450,451.40,4.54,mysql57,2
460,451.30,4.54,mysql57,2
470,451.70,4.54,mysql57,2
480,452.10,4.53,mysql57,2
490,452.30,4.53,mysql57,2
500,451.50,4.54,mysql57,2
510,451.70,4.54,mysql57,2
520,451.60,4.54,mysql57,2
530,452.20,4.54,mysql57,2
540,451.80,4.54,mysql57,2
550,452.30,4.54,mysql57,2
560,451.90,4.54,mysql57,2
570,451.90,4.54,mysql57,2
580,452.30,4.53,mysql57,2
590,452.30,4.53,mysql57,2
600,451.30,4.54,mysql57,2
610,451.70,4.54,mysql57,2
620,451.60,4.54,mysql57,2
630,451.90,4.54,mysql57,2
640,451.90,4.54,mysql57,2
650,452.20,4.53,mysql57,2
660,451.70,4.54,mysql57,2
670,451.70,4.54,mysql57,2
680,452.00,4.54,mysql57,2
690,452.20,4.53,mysql57,2
700,451.80,4.54,mysql57,2
710,451.50,4.54,mysql57,2
720,452.00,4.53,mysql57,2
730,452.10,4.53,mysql57,2
740,452.40,4.53,mysql57,2
