procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  93168 366508 4256508 117059968   14   31  1317  2439    1    1 13  4 79  4  0
 2  0  93168 399688 4257560 116730336    0    0 182680 14671 105125 423750  9  5 81  4  0
 1 63  93168 407084 4258352 116403688    0    0 238588 24988 111498 685238 17  7 69  7  0
34 13  93168 412936 4259232 116061624    0    0 236124 29728 114437 765690 20  7 66  7  0
50  7  93168 404232 4260016 115733432    0    0 228748 29428 125808 816126 21  8 65  6  0
 4  1  93168 415464 4260820 115378896    0    0 217420 34620 191381 933382 26  9 60  6  0
43 19  93168 398048 4261736 115079152    0    0 188340 34288 347839 954187 28  9 57  5  0
 1  0  93168 403616 4262676 114755768    0    0 184336 37604 424160 1027285 31  9 55  5  0
52  7  93168 410624 4263608 114412048    0    0 196184 38592 449852 1093251 34 10 51  5  0
51 10  93168 414376 4264628 114081440    0    0 190196 39528 392796 1084805 34 11 51  5  0
18  8  93168 408268 4265604 113775648    0    0 183656 35984 335773 1021212 32 10 53  6  0
38  7  93168 400564 4266460 113461248    0    0 190152 41180 279904 1095728 35 11 50  4  0
46  5  93168 385656 4267376 113136448    0    0 200084 44132 328574 1200327 38 12 45  4  0
50 11  93168 410556 4268252 112783280    0    0 193012 43288 284509 1161276 38 11 47  4  0
50 14  93168 401432 4269112 112472840    0    0 193048 43308 218420 1139587 36 11 49  4  0
40  4  93168 402148 4269932 112159056    0    0 189276 45468 169337 1169083 37 11 48  4  0
39  9  93168 407444 4270732 111814912    0    0 205652 47512 165115 1243318 41 12 43  4  0
28  7  93168 410624 4271448 111492432    0    0 195844 46368 183948 1221865 41 12 42  5  0
47 13  93168 414012 4272112 111200696    0    0 179028 44412 302711 1148535 38 12 47  4  0
46  0  93168 401364 4272736 110941456    0    0 164604 41240 540069 1164147 36 11 49  4  0
26  7  93168 402944 4273544 110677952    0    0 171632 41044 429949 1174097 37 12 48  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  93168 416192 4274312 110402320    0    0 170404 43736 400319 1171930 38 12 46  4  0
48  5  93168 397980 4274900 110192752    0    0 143340 36224 350125 976313 31 10 57  3  0
 1  0  93168 404124 4275588 109939056    0    0 160180 43372 478417 1097915 35 11 50  4  0
