elap_secs	cum_tps	int_tps	cum_ips	int_ips
1730	76.39	75.58	0.00	0.00
1740	76.39	75.92	0.00	0.00
1750	76.39	76.71	0.00	0.00
1760	76.39	76.43	0.00	0.00
1770	76.39	75.62	0.00	0.00
1780	76.38	75.82	0.00	0.00
1790	76.38	76.63	0.00	0.00
1800	76.38	75.32	0.00	0.00
1810	76.38	76.32	0.00	0.00
1820	76.37	75.22	0.00	0.00
1830	76.37	75.48	0.00	0.00
1840	76.36	75.12	0.00	0.00
1850	76.36	76.62	0.00	0.00
1860	76.35	74.93	0.00	0.00
1870	76.35	76.12	0.00	0.00
1880	76.35	75.22	0.00	0.00
1890	76.34	75.22	0.00	0.00
1900	76.33	75.22	0.00	0.00
1910	76.33	75.52	0.00	0.00
1920	76.33	75.52	0.00	0.00
1930	76.32	76.09	0.00	0.00
1940	76.32	75.92	0.00	0.00
1950	76.31	74.29	0.00	0.00
1960	76.31	75.42	0.00	0.00
1970	76.30	75.22	0.00	0.00
1980	76.30	75.82	0.00	0.00
1990	76.30	75.52	0.00	0.00
2000	76.29	75.22	0.00	0.00
2010	76.29	75.32	0.00	0.00
2020	76.28	75.18	0.00	0.00
2030	76.28	75.53	0.00	0.00
2040	76.27	75.73	0.00	0.00
2050	76.27	76.12	0.00	0.00
2060	76.27	75.92	0.00	0.00
2070	76.26	74.92	0.00	0.00
2080	76.26	75.22	0.00	0.00
2090	76.26	75.32	0.00	0.00
2100	76.25	75.22	0.00	0.00
2110	76.24	73.93	0.00	0.00
2120	76.23	74.77	0.00	0.00
2130	76.23	74.92	0.00	0.00
2140	76.22	75.02	0.00	0.00
2150	76.21	74.31	0.00	0.00
2160	76.21	75.63	0.00	0.00
2170	76.21	75.82	0.00	0.00
2180	76.20	74.93	0.00	0.00
2190	76.20	75.42	0.00	0.00
2200	76.20	75.72	0.00	0.00
2210	76.19	75.52	0.00	0.00
2220	76.19	74.97	0.00	0.00
2230	76.18	74.83	0.00	0.00
2240	76.17	74.43	0.00	0.00
2250	76.17	74.63	0.00	0.00
2260	76.16	74.82	0.00	0.00
2270	76.15	74.83	0.00	0.00
2280	76.15	74.73	0.00	0.00
2290	76.14	75.42	0.00	0.00
2300	76.14	75.23	0.00	0.00
2310	76.13	74.57	0.00	0.00
2320	76.12	73.73	0.00	0.00
2330	76.12	74.71	0.00	0.00
2340	76.11	75.42	0.00	0.00
2350	76.11	74.03	0.00	0.00
2360	76.10	75.72	0.00	0.00
2370	76.10	75.32	0.00	0.00
2380	76.09	72.53	0.00	0.00
2390	76.08	75.69	0.00	0.00
2400	76.08	75.98	0.00	0.00
2410	76.08	75.62	0.00	0.00
2420	76.08	74.53	0.00	0.00
2430	76.07	74.33	0.00	0.00
2440	76.06	75.02	0.00	0.00
2450	76.06	75.42	0.00	0.00
2460	76.06	75.92	0.00	0.00
2470	76.06	75.72	0.00	0.00
2480	76.06	75.42	0.00	0.00
2490	76.05	74.83	0.00	0.00
2500	76.05	74.47	0.00	0.00
2510	76.04	74.92	0.00	0.00
2520	76.03	74.42	0.00	0.00
2530	76.03	75.02	0.00	0.00
2540	76.03	74.83	0.00	0.00
2550	76.02	74.93	0.00	0.00
2560	76.02	75.12	0.00	0.00
2570	76.02	75.42	0.00	0.00
2580	76.01	74.51	0.00	0.00
2590	76.01	74.80	0.00	0.00
2600	76.00	74.46	0.00	0.00
2610	75.99	74.03	0.00	0.00
2620	75.99	74.83	0.00	0.00
2630	75.98	73.91	0.00	0.00
2640	75.97	74.12	0.00	0.00
2650	75.97	74.63	0.00	0.00
2660	75.96	74.71	0.00	0.00
2670	75.96	74.12	0.00	0.00
2680	75.95	74.14	0.00	0.00
2690	75.94	73.76	0.00	0.00
2700	75.93	74.13	0.00	0.00
2710	75.93	74.12	0.00	0.00
2720	75.92	73.22	0.00	0.00
2730	75.91	72.93	0.00	0.00
2740	75.90	73.62	0.00	0.00
2750	75.89	73.63	0.00	0.00
2760	75.88	73.03	0.00	0.00
2770	75.87	73.62	0.00	0.00
2780	75.86	73.62	0.00	0.00
2790	75.85	73.57	0.00	0.00
2800	75.85	73.30	0.00	0.00
2810	75.83	72.32	0.00	0.00
2820	75.83	73.72	0.00	0.00
2830	75.82	73.43	0.00	0.00
2840	75.81	73.93	0.00	0.00
2850	75.80	73.52	0.00	0.00
2860	75.80	74.23	0.00	0.00
2870	75.79	74.01	0.00	0.00
2880	75.78	72.76	0.00	0.00
2890	75.77	72.83	0.00	0.00
2900	75.76	73.52	0.00	0.00
2910	75.76	73.92	0.00	0.00
2920	75.75	73.83	0.00	0.00
2930	75.74	73.53	0.00	0.00
2940	75.73	73.02	0.00	0.00
2950	75.72	72.83	0.00	0.00
2960	75.71	73.10	0.00	0.00
2970	75.70	72.94	0.00	0.00
2980	75.70	72.92	0.00	0.00
2990	75.69	73.13	0.00	0.00
3000	75.68	73.13	0.00	0.00
3010	75.67	73.23	0.00	0.00
3020	75.66	73.52	0.00	0.00
3030	75.66	73.53	0.00	0.00
3040	75.65	72.82	0.00	0.00
3050	75.64	73.02	0.00	0.00
3060	75.63	73.60	0.00	0.00
3070	75.63	73.97	0.00	0.00
3080	75.62	73.73	0.00	0.00
3090	75.61	73.43	0.00	0.00
3100	75.61	73.83	0.00	0.00
3110	75.60	73.43	0.00	0.00
3120	75.59	73.03	0.00	0.00
3130	75.59	73.93	0.00	0.00
3140	75.58	73.13	0.00	0.00
3150	75.57	72.72	0.00	0.00
3160	75.56	72.64	0.00	0.00
3170	75.55	72.92	0.00	0.00
3180	75.54	73.13	0.00	0.00
3190	75.54	72.93	0.00	0.00
3200	75.53	72.53	0.00	0.00
3210	75.52	72.32	0.00	0.00
3220	75.51	73.03	0.00	0.00
3230	75.50	72.68	0.00	0.00
3240	75.49	72.83	0.00	0.00
3250	75.48	72.85	0.00	0.00
3260	75.48	72.81	0.00	0.00
3270	75.47	72.41	0.00	0.00
3280	75.46	72.71	0.00	0.00
3290	75.45	72.83	0.00	0.00
3300	75.44	72.92	0.00	0.00
3310	75.43	72.92	0.00	0.00
3320	75.43	72.53	0.00	0.00
3330	75.42	72.81	0.00	0.00
3340	75.41	71.83	0.00	0.00
3350	75.40	72.23	0.00	0.00
3360	75.39	72.63	0.00	0.00
3370	75.38	72.41	0.00	0.00
3380	75.37	72.51	0.00	0.00
3390	75.36	72.81	0.00	0.00
3400	75.36	73.03	0.00	0.00
3410	75.35	73.11	0.00	0.00
3420	75.34	73.13	0.00	0.00
3430	75.34	73.06	0.00	0.00
3440	75.33	71.23	0.00	0.00
3450	75.32	71.93	0.00	0.00
3460	75.31	73.32	0.00	0.00
3470	75.30	72.62	0.00	0.00
3480	75.30	73.33	0.00	0.00
3490	75.29	72.92	0.00	0.00
3500	75.28	73.52	0.00	0.00
3510	75.28	73.23	0.00	0.00
3520	75.27	73.23	0.00	0.00
3530	75.26	72.34	0.00	0.00
3540	75.26	73.51	0.00	0.00
3550	75.25	73.10	0.00	0.00
3560	75.25	72.93	0.00	0.00
3570	75.24	73.13	0.00	0.00
3580	75.24	73.13	0.00	0.00
3590	75.23	72.88	0.00	0.00
3600	75.22	72.53	0.00	0.00
