sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 250
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 250, tps: 0.00, reads: 0.00, writes: 4997.42, response time: 59.16ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 250, tps: 0.00, reads: 0.00, writes: 5002.20, response time: 62.23ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 250, tps: 0.00, reads: 0.00, writes: 5003.30, response time: 60.08ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 250, tps: 0.00, reads: 0.00, writes: 4926.40, response time: 62.49ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 250, tps: 0.00, reads: 0.00, writes: 5045.80, response time: 59.67ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 250, tps: 0.00, reads: 0.00, writes: 4990.60, response time: 60.77ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 250, tps: 0.00, reads: 0.00, writes: 5072.80, response time: 59.78ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 250, tps: 0.00, reads: 0.00, writes: 5023.00, response time: 59.71ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 250, tps: 0.00, reads: 0.00, writes: 4948.90, response time: 59.73ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 250, tps: 0.00, reads: 0.00, writes: 5002.40, response time: 59.46ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 250, tps: 0.00, reads: 0.00, writes: 4974.60, response time: 59.30ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 250, tps: 0.00, reads: 0.00, writes: 5002.00, response time: 59.07ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 250, tps: 0.00, reads: 0.00, writes: 5049.00, response time: 60.92ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 250, tps: 0.00, reads: 0.00, writes: 4950.40, response time: 62.10ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 250, tps: 0.00, reads: 0.00, writes: 4974.00, response time: 59.33ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 250, tps: 0.00, reads: 0.00, writes: 4953.20, response time: 59.67ms (95%), errors: 0.00, reconnects:  0.00
