elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	78.91	78.91	0.00	0.00
20	83.72	88.51	0.00	0.00
30	86.50	92.06	0.00	0.00
40	88.96	96.36	0.00	0.00
50	90.96	98.94	0.00	0.00
60	92.39	99.65	0.00	0.00
70	93.37	99.23	0.00	0.00
80	94.10	99.17	0.00	0.00
90	94.70	99.55	0.00	0.00
100	95.22	99.87	0.00	0.00
110	95.61	99.52	0.00	0.00
120	95.96	99.85	0.00	0.00
130	96.21	99.22	0.00	0.00
140	96.35	98.06	0.00	0.00
150	96.43	97.67	0.00	0.00
160	96.52	97.73	0.00	0.00
170	96.50	96.23	0.00	0.00
180	96.42	95.14	0.00	0.00
190	96.36	95.31	0.00	0.00
200	96.34	95.79	0.00	0.00
210	96.21	93.71	0.00	0.00
220	96.08	93.40	0.00	0.00
230	95.91	92.04	0.00	0.00
240	95.93	96.52	0.00	0.00
250	96.05	98.84	0.00	0.00
260	96.12	97.97	0.00	0.00
270	96.20	98.20	0.00	0.00
280	96.29	98.68	0.00	0.00
290	96.33	97.47	0.00	0.00
300	96.37	97.57	0.00	0.00
310	96.42	97.78	0.00	0.00
320	96.47	98.25	0.00	0.00
330	96.50	97.47	0.00	0.00
340	96.54	97.60	0.00	0.00
350	96.54	96.55	0.00	0.00
360	96.57	97.56	0.00	0.00
370	96.55	96.06	0.00	0.00
380	96.55	96.50	0.00	0.00
390	96.53	95.90	0.00	0.00
400	96.49	94.92	0.00	0.00
410	96.44	94.27	0.00	0.00
420	96.36	93.03	0.00	0.00
430	96.37	96.87	0.00	0.00
440	96.40	97.57	0.00	0.00
450	96.42	97.60	0.00	0.00
460	96.46	97.86	0.00	0.00
470	96.47	97.21	0.00	0.00
480	96.49	97.14	0.00	0.00
490	96.50	97.41	0.00	0.00
500	96.52	97.24	0.00	0.00
510	96.55	98.30	0.00	0.00
520	96.57	97.19	0.00	0.00
530	96.58	97.45	0.00	0.00
540	96.60	97.44	0.00	0.00
550	96.62	97.66	0.00	0.00
560	96.62	96.71	0.00	0.00
570	96.61	95.90	0.00	0.00
580	96.58	94.80	0.00	0.00
590	96.53	93.89	0.00	0.00
600	96.51	95.10	0.00	0.00
610	96.49	95.65	0.00	0.00
620	96.49	96.64	0.00	0.00
630	96.50	96.78	0.00	0.00
640	96.51	97.31	0.00	0.00
650	96.52	97.24	0.00	0.00
660	96.55	98.00	0.00	0.00
