sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2248.83, reads: 31666.56, writes: 9003.31, response time: 11.60ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2753.99, reads: 38548.90, writes: 11015.97, response time: 9.10ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2897.00, reads: 40552.94, writes: 11586.98, response time: 8.75ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2933.85, reads: 41015.83, writes: 11728.38, response time: 8.85ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2950.16, reads: 41344.21, writes: 11813.63, response time: 8.58ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2970.84, reads: 41605.71, writes: 11874.35, response time: 8.73ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3021.16, reads: 42284.27, writes: 12090.65, response time: 8.72ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3059.85, reads: 42865.83, writes: 12234.38, response time: 8.37ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3106.16, reads: 43454.22, writes: 12427.64, response time: 8.27ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3181.74, reads: 44564.35, writes: 12726.96, response time: 7.73ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3208.25, reads: 44942.50, writes: 12837.00, response time: 7.69ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3158.01, reads: 44149.13, writes: 12627.04, response time: 8.12ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3239.04, reads: 45367.52, writes: 12955.15, response time: 8.07ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3323.95, reads: 46517.36, writes: 13289.82, response time: 7.55ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3344.99, reads: 46852.83, writes: 13391.95, response time: 7.39ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3359.85, reads: 47058.85, writes: 13457.38, response time: 7.29ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3413.17, reads: 47801.41, writes: 13626.69, response time: 7.33ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3421.01, reads: 47817.17, writes: 13689.05, response time: 7.40ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3467.98, reads: 48647.77, writes: 13876.93, response time: 7.36ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3517.06, reads: 49180.78, writes: 14058.22, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3535.95, reads: 49495.32, writes: 14147.80, response time: 7.04ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3359.04, reads: 47053.63, writes: 13435.18, response time: 8.02ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3370.95, reads: 47186.33, writes: 13485.81, response time: 8.01ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3348.04, reads: 46857.52, writes: 13389.15, response time: 7.85ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3435.00, reads: 48112.06, writes: 13740.02, response time: 7.56ms (95%), errors: 0.00, reconnects:  0.00
