sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2235.83, reads: 31460.62, writes: 8953.32, response time: 11.61ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2712.02, reads: 37942.31, writes: 10844.09, response time: 9.72ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2871.00, reads: 40238.99, writes: 11487.00, response time: 8.97ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2904.01, reads: 40688.09, writes: 11618.03, response time: 8.97ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2926.99, reads: 40924.89, writes: 11699.97, response time: 8.83ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2953.00, reads: 41345.94, writes: 11811.98, response time: 9.09ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3014.00, reads: 42189.06, writes: 12064.02, response time: 8.79ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3000.00, reads: 41933.01, writes: 11998.00, response time: 8.97ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3088.97, reads: 43326.59, writes: 12361.88, response time: 8.59ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3121.03, reads: 43663.39, writes: 12474.11, response time: 8.41ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3183.00, reads: 44562.02, writes: 12734.01, response time: 8.21ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3216.98, reads: 45046.71, writes: 12870.92, response time: 7.92ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3300.02, reads: 46238.28, writes: 13194.08, response time: 7.77ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3235.98, reads: 45267.76, writes: 12946.93, response time: 8.18ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3288.02, reads: 46047.33, writes: 13155.09, response time: 7.96ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3301.97, reads: 46184.61, writes: 13202.89, response time: 8.05ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3413.02, reads: 47858.27, writes: 13665.08, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3363.01, reads: 47063.10, writes: 13449.03, response time: 7.66ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3447.99, reads: 48227.86, writes: 13781.96, response time: 7.69ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3437.98, reads: 48156.68, writes: 13750.91, response time: 7.52ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3524.03, reads: 49330.49, writes: 14103.14, response time: 7.34ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3503.00, reads: 49018.97, writes: 14000.99, response time: 7.46ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3392.99, reads: 47540.85, writes: 13580.96, response time: 7.43ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3206.98, reads: 44880.70, writes: 12821.91, response time: 7.84ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3096.02, reads: 43382.25, writes: 12395.07, response time: 9.50ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3531.99, reads: 49439.90, writes: 14118.97, response time: 7.60ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3563.00, reads: 49868.97, writes: 14252.99, response time: 7.40ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3305.03, reads: 46325.40, writes: 13231.12, response time: 7.86ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3509.97, reads: 49091.56, writes: 14022.87, response time: 7.89ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3485.00, reads: 48759.97, writes: 13942.99, response time: 7.70ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3331.00, reads: 46641.98, writes: 13331.99, response time: 8.39ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3485.01, reads: 48745.08, writes: 13929.02, response time: 7.97ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3744.01, reads: 52431.15, writes: 14987.04, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3722.99, reads: 52188.88, writes: 14881.96, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3570.01, reads: 49965.20, writes: 14289.06, response time: 7.89ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3306.98, reads: 46296.79, writes: 13227.94, response time: 8.75ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3700.00, reads: 51829.02, writes: 14798.01, response time: 7.29ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3687.99, reads: 51608.89, writes: 14752.97, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3479.00, reads: 48690.03, writes: 13916.01, response time: 8.27ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3662.02, reads: 51261.35, writes: 14639.10, response time: 7.74ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3569.98, reads: 49964.78, writes: 14290.94, response time: 7.45ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3674.99, reads: 51450.81, writes: 14688.95, response time: 7.31ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3766.01, reads: 52735.08, writes: 15072.02, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3524.03, reads: 49367.39, writes: 14097.11, response time: 8.00ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 3751.97, reads: 52533.56, writes: 14998.87, response time: 6.88ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 3759.01, reads: 52601.08, writes: 15044.02, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
