sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 421.61, reads: 5917.25, writes: 1687.34, response time: 48.06ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 366.30, reads: 5129.10, writes: 1466.60, response time: 81.59ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 367.00, reads: 5135.10, writes: 1467.60, response time: 82.50ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 360.70, reads: 5049.29, writes: 1441.40, response time: 58.35ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 438.70, reads: 6147.42, writes: 1757.10, response time: 43.64ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 442.20, reads: 6187.99, writes: 1766.80, response time: 42.90ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 426.00, reads: 5965.21, writes: 1707.10, response time: 45.51ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 397.00, reads: 5558.60, writes: 1585.90, response time: 60.25ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 440.10, reads: 6159.10, writes: 1761.00, response time: 43.38ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 428.90, reads: 6005.10, writes: 1714.20, response time: 45.35ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 439.40, reads: 6154.20, writes: 1757.60, response time: 43.27ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 437.70, reads: 6125.50, writes: 1751.60, response time: 43.45ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 431.20, reads: 6039.09, writes: 1726.20, response time: 44.51ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 392.30, reads: 5496.41, writes: 1571.10, response time: 58.45ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 440.40, reads: 6160.28, writes: 1758.49, response time: 43.71ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 416.30, reads: 5823.82, writes: 1664.41, response time: 47.99ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 435.40, reads: 6098.70, writes: 1741.90, response time: 44.00ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 433.30, reads: 6063.90, writes: 1732.70, response time: 44.12ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 427.90, reads: 5991.97, writes: 1712.19, response time: 46.02ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 392.50, reads: 5501.13, writes: 1570.91, response time: 58.40ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 435.79, reads: 6096.72, writes: 1742.68, response time: 43.83ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 424.51, reads: 5944.18, writes: 1698.42, response time: 45.57ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 441.90, reads: 6183.90, writes: 1766.50, response time: 42.98ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 431.90, reads: 6046.60, writes: 1727.40, response time: 44.09ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 425.00, reads: 5952.00, writes: 1699.70, response time: 45.46ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 393.20, reads: 5507.60, writes: 1574.40, response time: 55.44ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 428.90, reads: 6003.00, writes: 1715.80, response time: 46.34ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 430.39, reads: 6023.92, writes: 1720.58, response time: 44.73ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 437.60, reads: 6126.57, writes: 1749.82, response time: 43.43ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 438.00, reads: 6130.61, writes: 1751.80, response time: 43.36ms (95%), errors: 0.00, reconnects:  0.00
