workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,4000,250,930,10115.30,35949.40,171.25,2512.60
oltp,4000,250,940,10061.90,35864.99,171.05,2499.10
oltp,4000,250,950,9783.60,34929.69,180.57,2431.40
oltp,4000,250,960,10012.34,35680.44,173.94,2489.51
oltp,4000,250,970,9829.27,34982.88,182.36,2442.99
oltp,4000,250,980,10069.09,35796.88,174.20,2498.70
oltp,4000,250,990,10032.50,35736.61,171.05,2499.40
oltp,4000,250,1000,10021.40,35705.51,172.74,2488.70
oltp,4000,250,1010,9997.40,35591.20,176.09,2485.30
oltp,4000,250,1020,10125.20,35921.58,171.20,2507.90
oltp,4000,250,1030,10077.70,36087.51,172.90,2514.20
oltp,4000,250,1040,9972.40,35517.39,173.89,2475.40
oltp,4000,250,1050,9936.91,35436.12,179.87,2473.50
oltp,4000,250,1060,10117.90,35955.28,171.10,2510.40
oltp,4000,250,1070,10206.69,36420.08,167.40,2545.00
oltp,4000,250,1080,10205.21,36333.12,168.35,2536.10
oltp,4000,250,1090,10158.90,36136.31,172.07,2523.60
oltp,4000,250,1100,10240.10,36534.30,169.62,2544.30
oltp,4000,250,1110,10014.79,35652.38,177.67,2490.90
oltp,4000,250,1120,10048.30,35761.09,173.42,2500.70
oltp,4000,250,1130,9846.79,35102.36,178.79,2445.30
oltp,4000,250,1140,10153.32,36194.07,170.28,2524.10
oltp,4000,250,1150,10145.00,36173.80,171.82,2520.70
oltp,4000,250,1160,10176.80,36212.09,169.57,2528.70
oltp,4000,250,1170,10138.20,35993.31,171.66,2512.20
oltp,4000,250,1180,10092.80,36008.49,175.72,2518.10
oltp,4000,250,1190,10189.20,36304.21,168.71,2535.00
oltp,4000,250,1200,10194.70,36259.30,169.77,2535.00
oltp,4000,250,1210,10105.20,35989.30,172.49,2506.50
oltp,4000,250,1220,9695.40,34555.98,176.30,2416.70
oltp,4000,250,1230,10073.59,35903.06,172.38,2503.10
oltp,4000,250,1240,10116.82,36053.07,170.33,2514.40
oltp,4000,250,1250,10163.70,36195.70,170.84,2528.70
oltp,4000,250,1260,10208.10,36289.99,167.80,2534.00
oltp,4000,250,1270,10130.60,36094.01,173.57,2519.50
oltp,4000,250,1280,10170.08,36218.62,169.52,2529.89
oltp,4000,250,1290,10003.52,35646.36,175.03,2483.30
oltp,4000,250,1300,10073.20,35892.71,172.49,2503.10
oltp,4000,250,1310,10009.80,35715.30,174.30,2488.20
oltp,4000,250,1320,10131.20,36065.39,170.79,2519.90
oltp,4000,250,1330,10080.30,35963.30,172.69,2505.20
oltp,4000,250,1340,10166.50,36127.30,168.96,2525.80
oltp,4000,250,1350,9975.80,35526.31,177.09,2478.70
oltp,4000,250,1360,10074.80,35856.50,174.67,2505.40
oltp,4000,250,1370,10104.14,35999.42,171.92,2515.31
oltp,4000,250,1380,10181.77,36275.78,168.15,2530.19
oltp,4000,250,1390,10108.20,35912.89,172.85,2507.90
oltp,4000,250,1400,9959.50,35633.11,175.30,2474.20
oltp,4000,250,1410,10184.10,36225.99,168.91,2535.20
oltp,4000,250,1420,10197.50,36287.90,169.47,2533.10
oltp,4000,250,1430,10034.70,35804.81,175.56,2495.00
oltp,4000,250,1440,10051.50,35777.10,172.85,2499.40
