sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 500, tps: 953.18, reads: 14063.47, writes: 3866.74, response time: 1048.41ms (95%), errors: 5.40, reconnects:  0.00
[  20s] threads: 500, tps: 579.70, reads: 8059.17, writes: 2308.52, response time: 4863.14ms (95%), errors: 11.20, reconnects:  0.00
[  30s] threads: 500, tps: 861.59, reads: 12215.90, writes: 3477.37, response time: 4469.47ms (95%), errors: 4.30, reconnects:  0.00
[  40s] threads: 500, tps: 1186.10, reads: 16639.54, writes: 4744.41, response time: 1096.88ms (95%), errors: 7.50, reconnects:  0.00
[  50s] threads: 500, tps: 758.71, reads: 10657.17, writes: 3003.72, response time: 4795.20ms (95%), errors: 4.40, reconnects:  0.00
[  60s] threads: 500, tps: 748.70, reads: 10663.46, writes: 3037.39, response time: 3998.49ms (95%), errors: 7.80, reconnects:  0.00
[  70s] threads: 500, tps: 890.10, reads: 12493.97, writes: 3559.09, response time: 3578.21ms (95%), errors: 5.90, reconnects:  0.00
[  80s] threads: 500, tps: 1120.30, reads: 15783.46, writes: 4457.42, response time: 1116.09ms (95%), errors: 4.90, reconnects:  0.00
[  90s] threads: 500, tps: 822.50, reads: 11673.04, writes: 3305.38, response time: 3096.53ms (95%), errors: 11.10, reconnects:  0.00
[ 100s] threads: 500, tps: 858.50, reads: 12175.09, writes: 3482.50, response time: 5909.46ms (95%), errors: 10.80, reconnects:  0.00
[ 110s] threads: 500, tps: 813.20, reads: 11420.40, writes: 3282.10, response time: 1220.59ms (95%), errors: 4.00, reconnects:  0.00
[ 120s] threads: 500, tps: 931.00, reads: 13188.99, writes: 3722.00, response time: 4718.31ms (95%), errors: 8.40, reconnects:  0.00
[ 130s] threads: 500, tps: 939.20, reads: 13291.80, writes: 3797.30, response time: 3384.43ms (95%), errors: 4.60, reconnects:  0.00
[ 140s] threads: 500, tps: 900.20, reads: 12596.00, writes: 3545.50, response time: 3479.97ms (95%), errors: 7.70, reconnects:  0.00
[ 150s] threads: 500, tps: 848.20, reads: 11982.99, writes: 3425.70, response time: 3738.06ms (95%), errors: 8.20, reconnects:  0.00
[ 160s] threads: 500, tps: 1018.20, reads: 14414.91, writes: 4066.30, response time: 2996.23ms (95%), errors: 7.30, reconnects:  0.00
[ 170s] threads: 500, tps: 941.80, reads: 13264.90, writes: 3772.70, response time: 3518.73ms (95%), errors: 7.40, reconnects:  0.00
[ 180s] threads: 500, tps: 654.80, reads: 9272.80, writes: 2621.90, response time: 4442.80ms (95%), errors: 10.10, reconnects:  0.00
[ 190s] threads: 500, tps: 997.21, reads: 14172.22, writes: 4052.43, response time: 710.02ms (95%), errors: 1.70, reconnects:  0.00
[ 200s] threads: 500, tps: 230.80, reads: 3146.58, writes: 879.89, response time: 12067.04ms (95%), errors: 3.10, reconnects:  0.00
[ 210s] threads: 500, tps: 485.50, reads: 6721.55, writes: 1897.21, response time: 738.63ms (95%), errors: 1.30, reconnects:  0.00
[ 220s] threads: 500, tps: 526.40, reads: 7591.57, writes: 2216.39, response time: 13549.13ms (95%), errors: 6.90, reconnects:  0.00
[ 230s] threads: 500, tps: 379.20, reads: 5534.99, writes: 1463.40, response time: 571.16ms (95%), errors: 7.70, reconnects:  0.00
[ 240s] threads: 500, tps: 283.30, reads: 4152.90, writes: 1204.30, response time: 16292.66ms (95%), errors: 13.20, reconnects:  0.00
[ 250s] threads: 500, tps: 471.80, reads: 6800.97, writes: 1813.59, response time: 1525.53ms (95%), errors: 13.90, reconnects:  0.00
[ 260s] threads: 500, tps: 598.60, reads: 8669.42, writes: 2433.31, response time: 11047.15ms (95%), errors: 22.70, reconnects:  0.00
[ 270s] threads: 500, tps: 594.60, reads: 8489.07, writes: 2397.49, response time: 5718.05ms (95%), errors: 24.20, reconnects:  0.00
[ 280s] threads: 500, tps: 1050.50, reads: 15285.84, writes: 4233.41, response time: 1312.69ms (95%), errors: 28.50, reconnects:  0.00
[ 290s] threads: 500, tps: 881.91, reads: 12672.49, writes: 3557.62, response time: 3939.09ms (95%), errors: 19.90, reconnects:  0.00
[ 300s] threads: 500, tps: 853.29, reads: 12050.57, writes: 3416.66, response time: 2511.16ms (95%), errors: 26.60, reconnects:  0.00
[ 310s] threads: 500, tps: 901.00, reads: 12970.45, writes: 3607.61, response time: 2281.10ms (95%), errors: 24.70, reconnects:  0.00
[ 320s] threads: 500, tps: 890.70, reads: 12959.01, writes: 3604.70, response time: 2641.46ms (95%), errors: 23.90, reconnects:  0.00
[ 330s] threads: 500, tps: 874.30, reads: 12506.36, writes: 3502.29, response time: 3310.28ms (95%), errors: 23.10, reconnects:  0.00
[ 340s] threads: 500, tps: 1084.20, reads: 15422.27, writes: 4377.39, response time: 1222.06ms (95%), errors: 25.60, reconnects:  0.00
[ 350s] threads: 500, tps: 647.70, reads: 9507.31, writes: 2632.50, response time: 4860.23ms (95%), errors: 16.50, reconnects:  0.00
[ 360s] threads: 500, tps: 876.90, reads: 12565.50, writes: 3548.00, response time: 3414.96ms (95%), errors: 24.10, reconnects:  0.00
[ 370s] threads: 500, tps: 1161.60, reads: 16400.20, writes: 4613.00, response time: 1027.59ms (95%), errors: 23.40, reconnects:  0.00
[ 380s] threads: 500, tps: 382.90, reads: 5745.40, writes: 1577.10, response time: 7120.96ms (95%), errors: 6.10, reconnects:  0.00
[ 390s] threads: 500, tps: 1120.10, reads: 15848.38, writes: 4498.30, response time: 1746.03ms (95%), errors: 21.50, reconnects:  0.00
[ 400s] threads: 500, tps: 257.50, reads: 3872.80, writes: 1042.40, response time: 4542.31ms (95%), errors: 11.70, reconnects:  0.00
[ 410s] threads: 500, tps: 778.50, reads: 11248.51, writes: 3156.00, response time: 4370.25ms (95%), errors: 22.50, reconnects:  0.00
[ 420s] threads: 500, tps: 1025.71, reads: 14631.72, writes: 4111.93, response time: 1097.21ms (95%), errors: 31.40, reconnects:  0.00
[ 430s] threads: 500, tps: 800.99, reads: 11508.20, writes: 3213.77, response time: 4148.45ms (95%), errors: 21.00, reconnects:  0.00
[ 440s] threads: 500, tps: 672.20, reads: 9828.02, writes: 2723.51, response time: 3515.57ms (95%), errors: 18.40, reconnects:  0.00
[ 450s] threads: 500, tps: 1159.61, reads: 16534.73, writes: 4644.24, response time: 1100.17ms (95%), errors: 34.20, reconnects:  0.00
[ 460s] threads: 500, tps: 254.90, reads: 3802.38, writes: 1046.60, response time: 9963.23ms (95%), errors: 8.40, reconnects:  0.00
[ 470s] threads: 500, tps: 677.50, reads: 9623.78, writes: 2715.69, response time: 1916.96ms (95%), errors: 30.60, reconnects:  0.00
[ 480s] threads: 500, tps: 310.10, reads: 4820.51, writes: 1295.00, response time: 4657.97ms (95%), errors: 13.60, reconnects:  0.00
[ 490s] threads: 500, tps: 862.30, reads: 12525.44, writes: 3500.18, response time: 889.26ms (95%), errors: 27.80, reconnects:  0.00
[ 500s] threads: 500, tps: 1156.70, reads: 16543.15, writes: 4610.81, response time: 1767.59ms (95%), errors: 28.40, reconnects:  0.00
[ 510s] threads: 500, tps: 190.20, reads: 2814.79, writes: 787.70, response time: 5541.12ms (95%), errors: 8.20, reconnects:  0.00
[ 520s] threads: 500, tps: 393.80, reads: 5487.72, writes: 1543.21, response time: 3878.25ms (95%), errors: 14.80, reconnects:  0.00
[ 530s] threads: 500, tps: 888.31, reads: 12952.58, writes: 3600.12, response time: 3514.52ms (95%), errors: 20.60, reconnects:  0.00
[ 540s] threads: 500, tps: 775.09, reads: 11053.49, writes: 3124.77, response time: 3804.66ms (95%), errors: 22.10, reconnects:  0.00
[ 550s] threads: 500, tps: 686.50, reads: 10023.51, writes: 2794.20, response time: 3707.97ms (95%), errors: 21.20, reconnects:  0.00
[ 560s] threads: 500, tps: 1050.50, reads: 15046.79, writes: 4191.00, response time: 1262.96ms (95%), errors: 37.30, reconnects:  0.00
[ 570s] threads: 500, tps: 429.20, reads: 6317.30, writes: 1748.90, response time: 4414.96ms (95%), errors: 11.10, reconnects:  0.00
[ 580s] threads: 500, tps: 1020.40, reads: 14475.83, writes: 4076.11, response time: 759.94ms (95%), errors: 29.40, reconnects:  0.00
[ 590s] threads: 500, tps: 947.70, reads: 13660.68, writes: 3859.49, response time: 4247.72ms (95%), errors: 19.40, reconnects:  0.00
[ 600s] threads: 500, tps: 654.90, reads: 9331.81, writes: 2632.70, response time: 5675.41ms (95%), errors: 13.10, reconnects:  0.00
[ 610s] threads: 500, tps: 590.90, reads: 8533.29, writes: 2338.80, response time: 2810.31ms (95%), errors: 24.60, reconnects:  0.00
[ 620s] threads: 500, tps: 963.30, reads: 13945.86, writes: 3892.92, response time: 787.73ms (95%), errors: 19.50, reconnects:  0.00
[ 630s] threads: 500, tps: 816.10, reads: 11886.95, writes: 3338.98, response time: 3647.42ms (95%), errors: 31.40, reconnects:  0.00
[ 640s] threads: 500, tps: 749.40, reads: 10768.25, writes: 3000.21, response time: 4035.77ms (95%), errors: 26.00, reconnects:  0.00
[ 650s] threads: 500, tps: 741.30, reads: 10882.35, writes: 2990.29, response time: 1127.85ms (95%), errors: 27.10, reconnects:  0.00
[ 660s] threads: 500, tps: 1067.50, reads: 15126.90, writes: 4260.00, response time: 1291.64ms (95%), errors: 26.20, reconnects:  0.00
[ 670s] threads: 500, tps: 604.40, reads: 8755.80, writes: 2464.00, response time: 3452.99ms (95%), errors: 19.90, reconnects:  0.00
[ 680s] threads: 500, tps: 840.61, reads: 12273.58, writes: 3369.42, response time: 717.28ms (95%), errors: 25.50, reconnects:  0.00
[ 690s] threads: 500, tps: 847.19, reads: 12425.02, writes: 3439.08, response time: 5455.54ms (95%), errors: 38.60, reconnects:  0.00
[ 700s] threads: 500, tps: 279.20, reads: 4000.00, writes: 1138.20, response time: 4783.73ms (95%), errors: 13.10, reconnects:  0.00
[ 710s] threads: 500, tps: 457.10, reads: 6554.50, writes: 1858.00, response time: 4631.55ms (95%), errors: 17.00, reconnects:  0.00
[ 720s] threads: 500, tps: 817.40, reads: 11902.51, writes: 3264.50, response time: 1007.79ms (95%), errors: 21.30, reconnects:  0.00
[ 730s] threads: 500, tps: 1072.80, reads: 15440.28, writes: 4343.50, response time: 1150.70ms (95%), errors: 31.10, reconnects:  0.00
[ 740s] threads: 500, tps: 489.30, reads: 7200.40, writes: 1965.20, response time: 6560.22ms (95%), errors: 23.70, reconnects:  0.00
[ 750s] threads: 500, tps: 547.70, reads: 8089.05, writes: 2208.11, response time: 1818.04ms (95%), errors: 29.80, reconnects:  0.00
[ 760s] threads: 500, tps: 225.40, reads: 3196.71, writes: 893.30, response time: 5821.67ms (95%), errors: 7.00, reconnects:  0.00
[ 770s] threads: 500, tps: 1039.49, reads: 14795.39, writes: 4179.27, response time: 1207.15ms (95%), errors: 24.20, reconnects:  0.00
[ 780s] threads: 500, tps: 598.90, reads: 8730.28, writes: 2470.20, response time: 5130.82ms (95%), errors: 17.00, reconnects:  0.00
[ 790s] threads: 500, tps: 900.69, reads: 12778.38, writes: 3609.57, response time: 3465.42ms (95%), errors: 20.10, reconnects:  0.00
[ 800s] threads: 500, tps: 784.51, reads: 11190.10, writes: 3177.73, response time: 4293.75ms (95%), errors: 16.50, reconnects:  0.00
[ 810s] threads: 500, tps: 1018.70, reads: 14669.11, writes: 4077.30, response time: 1392.42ms (95%), errors: 20.40, reconnects:  0.00
[ 820s] threads: 500, tps: 616.60, reads: 8751.52, writes: 2457.20, response time: 5117.02ms (95%), errors: 13.10, reconnects:  0.00
[ 830s] threads: 500, tps: 842.80, reads: 12258.77, writes: 3397.69, response time: 1550.39ms (95%), errors: 31.90, reconnects:  0.00
[ 840s] threads: 500, tps: 721.00, reads: 10476.30, writes: 2930.00, response time: 4786.60ms (95%), errors: 25.80, reconnects:  0.00
