procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14 810940 120147696  21444 760488    0    0 21472 20524 1001 1559  2  0 93  5  0
 2 16 810940 120145544  21464 760584    0    0 31908 30812 1403 2429  2  2 88  7  0
 1 19 810940 120134856  21472 770308    0    0 52432 51300 1147 1582  2  1 86 11  0
 1 13 810940 120139528  21488 763884    0    0 31792 30868 1307 2386  2  1 90  7  0
 2 15 810940 120133392  21508 770820    0    0 31764 30796 1181 1958  2  0 90  8  0
 1  4 810940 120141696  21524 760608    0    0 22624 20596 1274 3050  2  1 92  5  0
 1 18 810940 120137616  21524 760668    0    0 42688 41012 1019 1934  2  0 93  5  0
 1 12 810940 120135488  21544 760696    0    0 42432 41036 1411 5245  2  0 93  5  0
 1 16 810940 120114192  21556 780200    0    0 21380 28736 1034 1738  2  0 93  5  0
 1 18 810940 120118352  21580 770204    0    0 42544 32968 1407 3074  2  0 91  7  0
 1 14 810940 120126048  21596 760036    0    0 41968 41040 1016 1661  2  0 92  6  0
 2 16 810940 120125856  21604 761400    0    0 32048 30772 1363 2508  2  1 91  6  0
 2 12 810940 120126096  21624 758892    0    0 32324 30820 1442 2080  2  2 89  7  0
 2 16 810940 120111776  21640 769748    0    0 31648 30840 1547 2593  3  2 89  6  0
 1 15 810940 120116552  21664 762020    0    0 42512 41128 1382 1981  2  2 89  7  0
 2 14 810940 120116592  21672 761176    0    0 31760 30768 1164 2307  2  0 92  6  0
 1 13 810940 120116360  21696 760908    0    0 42104 41084 1063 1717  2  1 91  6  0
 2 15 810940 120101968  21712 770992    0    0 31872 30816 1490 2590  2  2 90  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 16 810940 120107032  21720 760840    0    0 31552 30764 1127 1369  2  2 89  7  0
 2 17 810940 120096912  21736 771340    0    0 42224 41036 1617 2604  2  2 89  7  0
 2 12 810940 120108920  21756 760568    0    0 42324 41088 1286 4591  2  1 92  6  0
 2 14 810940 120107232  21772 760636    0    0 31472 30812 1502 2580  2  2 89  6  0
 2 17 810940 120107520  21780 760864    0    0 31824 30760 1279 1579  2  2 90  6  0
 1 15 810940 120107848  21796 760412    0    0 42068 41036 1552 2630  2  2 90  5  0
