procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 13 810964 120132944  21400 761036    0    0 42304 41065 1232 1955  2  1 86 11  0
 2 17 810964 120119896  21416 770172    0    0 42448 41055 1389 2594  2  1 87  9  0
 2 17 810964 120125320  21424 764724    0    0 31856 30764 1250 1463  2  2 85 11  0
 1 12 810964 120121808  21456 767972    0    0 32408 30860 1457 3093  2  1 91  6  0
 3 16 810964 120117440  21464 768648    0    0 42080 41036 1261 1834  2  1 90  7  0
 1 13 810964 120113456  21488 770352    0    0 42656 41049 1420 2782  2  1 92  5  0
 1 14 810964 120124208  21516 759828    0    0 32196 30859 1280 2273  2  1 89  8  0
 2 16 810964 120124528  21524 759972    0    0 52304 51272 1508 2711  2  1 90  7  0
 2 15 810964 120125776  21544 759956    0    0 32176 30800 1362 4285  2  2 90  5  0
 1 13 810964 120124064  21564 757592    0    0 42180 41040 1422 3025  2  1 91  6  0
 1 15 810964 120119888  21588 759808    0    0 31952 30913 1151 1811  2  1 89  8  0
 2 14 810964 120103688  21604 770948    0    0 52544 51291 1487 2665  2  1 90  7  0
 2 13 810964 120112208  21612 760100    0    0 31712 30768 1220 1832  2  2 91  5  0
 1 14 810964 120106736  21632 760184    0    0 32036 30844 1341 2911  2  1 91  6  0
 1 16 810964 120104760  21648 760128    0    0 32080 30808 1110 1849  2  0 94  4  0
 2  8 810964 120084464  21672 781388    0    0 52288 51301 1491 2621  2  2 89  7  0
 1 16 810964 120103360  21688 760116    0    0 31840 30815 1017 1817  2  1 94  4  0
 1 16 810964 120096504  21700 760940    0    0 32612 30784 1316 2844  2  1 93  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 12 810964 120086080  21716 771808    0    0 41728 41028 1128 1494  2  1 89  8  0
 2 14 810964 120098288  21732 760120    0    0 42112 41072 1466 2550  2  2 89  7  0
 2 19 810964 120100624  21760 758104    0    0 32324 30853 1322 1899  2  2 90  5  0
 2 15 810964 120099488  21768 760164    0    0 42352 41003 1596 5323  2  1 91  5  0
 2 15 810964 120081840  21776 773864    0    0 41936 41032 1343 1732  2  2 84 12  0
 1 11 810964 120088688  21792 767780    0    0 41680 41056 1220 2498  2  1 91  6  0
 3 18 810964 120095952  21812 760308    0    0 32452 30816 1348 1898  2  2 90  6  0
 2 16 810964 120092376  21836 760276    0    0 22080 31203 1901 3028  2  2 90  6  0
 2 13 810964 120080360  21860 770112    0    0 42448 30895 1160 2530  2  1 92  5  0
 1 14 810964 120064864  21872 784284    0    0 32356 34908 1517 2704  2  2 87  8  0
 1 15 810964 120073592  21888 770520    0    0 42736 36968 1054 1917  2  0 93  4  0
 2 14 810964 120069376  21904 775500    0    0 42480 41032 1354 2343  2  1 88  8  0
 2 14 810964 120073560  21920 771344    0    0 41552 41089 1272 1638  2  2 89  7  0
