sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 250
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 250, tps: 457.09, reads: 6649.80, writes: 1837.37, response time: 2133.16ms (95%), errors: 1.50, reconnects:  0.00
[  20s] threads: 250, tps: 718.80, reads: 10069.01, writes: 2872.80, response time: 1874.40ms (95%), errors: 1.60, reconnects:  0.00
[  30s] threads: 250, tps: 570.70, reads: 8027.15, writes: 2286.89, response time: 2182.90ms (95%), errors: 2.00, reconnects:  0.00
[  40s] threads: 250, tps: 629.30, reads: 8869.15, writes: 2522.01, response time: 2064.06ms (95%), errors: 3.80, reconnects:  0.00
[  50s] threads: 250, tps: 531.20, reads: 7491.90, writes: 2127.60, response time: 2043.16ms (95%), errors: 3.10, reconnects:  0.00
[  60s] threads: 250, tps: 682.20, reads: 9569.70, writes: 2733.40, response time: 1979.94ms (95%), errors: 1.20, reconnects:  0.00
[  70s] threads: 250, tps: 587.90, reads: 8252.20, writes: 2349.30, response time: 1972.84ms (95%), errors: 2.30, reconnects:  0.00
[  80s] threads: 250, tps: 637.80, reads: 9043.40, writes: 2557.20, response time: 2118.52ms (95%), errors: 3.40, reconnects:  0.00
[  90s] threads: 250, tps: 552.90, reads: 7755.40, writes: 2223.20, response time: 1897.55ms (95%), errors: 3.20, reconnects:  0.00
[ 100s] threads: 250, tps: 646.70, reads: 9053.70, writes: 2580.50, response time: 1852.09ms (95%), errors: 3.20, reconnects:  0.00
[ 110s] threads: 250, tps: 588.80, reads: 8287.60, writes: 2355.40, response time: 2021.87ms (95%), errors: 2.90, reconnects:  0.00
[ 120s] threads: 250, tps: 662.90, reads: 9315.70, writes: 2657.30, response time: 1952.28ms (95%), errors: 2.90, reconnects:  0.00
[ 130s] threads: 250, tps: 649.30, reads: 9138.80, writes: 2600.80, response time: 2018.24ms (95%), errors: 2.90, reconnects:  0.00
[ 140s] threads: 250, tps: 540.40, reads: 7646.30, writes: 2171.30, response time: 1974.62ms (95%), errors: 3.30, reconnects:  0.00
[ 150s] threads: 250, tps: 655.00, reads: 9157.00, writes: 2614.90, response time: 2009.20ms (95%), errors: 1.70, reconnects:  0.00
[ 160s] threads: 250, tps: 599.00, reads: 8497.70, writes: 2412.60, response time: 2076.46ms (95%), errors: 3.40, reconnects:  0.00
[ 170s] threads: 250, tps: 656.80, reads: 9198.20, writes: 2623.30, response time: 2181.59ms (95%), errors: 3.50, reconnects:  0.00
[ 180s] threads: 250, tps: 539.00, reads: 7519.04, writes: 2149.41, response time: 1877.77ms (95%), errors: 0.70, reconnects:  0.00
