sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 377.50, reads: 5304.15, writes: 1510.81, response time: 47.93ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 379.90, reads: 5314.20, writes: 1520.60, response time: 51.55ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 381.00, reads: 5340.10, writes: 1524.90, response time: 48.36ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 382.40, reads: 5355.20, writes: 1532.70, response time: 48.12ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 378.90, reads: 5304.59, writes: 1515.60, response time: 49.14ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 374.60, reads: 5244.41, writes: 1499.00, response time: 50.98ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 378.90, reads: 5298.60, writes: 1509.20, response time: 51.02ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 377.60, reads: 5293.00, writes: 1514.70, response time: 50.42ms (95%), errors: 0.10, reconnects:  0.00
[  90s] threads: 16, tps: 382.40, reads: 5354.20, writes: 1528.70, response time: 47.36ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 383.30, reads: 5366.40, writes: 1536.30, response time: 47.25ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 389.90, reads: 5438.40, writes: 1553.20, response time: 47.05ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 384.90, reads: 5406.21, writes: 1541.10, response time: 49.62ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 390.40, reads: 5467.10, writes: 1561.40, response time: 46.31ms (95%), errors: 0.00, reconnects:  0.00
