procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 9509896 331912  34952 877964  536    0 431804 80286 175842 457150 16  6 75  3  0
17  5 9509372 324260  48992 886668  564    0 405952 75018 141367 341395 14  5 79  3  0
 4  2 9508828 324272  47332 879212  572    0 417124 81184 153313 372465 14  6 78  3  0
 6  1 9508224 323088  42212 881944  628    0 412752 77872 156062 386182 15  5 77  3  0
 3  1 9507724 326052  36804 883524  472    0 400332 77504 152640 344567 13  5 79  3  0
 3  1 9507220 333864  27688 882828  536    0 426628 77518 159594 381450 14  6 78  3  0
38  8 9506732 336880  26264 882532  488    0 407096 68695 143304 381344 15  6 77  3  0
47  1 9506276 334828  31028 876636  468    0 360700 74839 152197 365248 13  5 80  2  0
 0  1 9505828 336852  27984 876844  464    0 414384 77210 156763 369188 13  6 78  3  0
 1  2 9505276 336524  38004 878028  528    0 411564 78232 156540 408973 15  6 77  3  0
 1  1 9504672 336492  33604 878152  632    0 398956 76484 155140 367849 13  5 79  3  0
 1  0 9504160 330584  29700 882728  540    0 433804 75392 158531 389994 15  6 76  3  0
15  1 9503540 336652  29496 876456  664    0 401580 76440 143828 345544 12  4 81  3  0
49  7 9502856 324068  38916 879060  664    0 424716 63790 153535 364883 15  6 76  3  0
 3  1 9502356 323184  38264 878816  512    0 369880 69596 146888 314466 12  5 81  3  0
 1  0 9501756 326352  45632 878780  632    0 375364 77009 142928 292640 11  4 82  3  0
36  5 9501172 327832  35172 879532  644    0 426208 70931 159789 438000 16  6 75  3  0
 2  0 9500624 330908  30232 878368  612    0 450544 73098 152615 339383 14  5 79  3  0
 8  2 9499848 333132  22852 879124 1044    0 478392 67864 167354 383442 17  6 73  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3 9499192 331864  24920 880100  744    0 475776 64550 167335 378895 16  6 75  3  0
 1  5 9498524 332792  22796 880544  688    0 453396 65188 162629 369121 15  6 76  3  0
 1  3 9497972 327028  22992 881832  648    0 444964 67540 160630 354164 15  5 77  3  0
 1  1 9497472 328424  20004 879972  520    0 473688 70422 155731 307201 10  4 82  4  0
32  2 9496752 329668  19556 880480  768    0 497012 61418 163287 371407 16  6 74  4  0
33  4 9496128 325592  31048 882996  672    0 478580 59802 148022 332199 14  5 77  4  0
 2  2 9495508 333796  15700 881668  632    0 459008 80430 158137 376392 15  6 76  3  0
 4  8 9494932 328628  24044 886004  644    0 452236 88642 161406 368626 15  5 78  3  0
19  5 9494304 334228  20368 880500  648    0 431004 95832 153444 333833 13  5 80  3  0
 2  2 9493824 325704  22584 884568  500    0 429092 92946 156677 313510 12  4 81  3  0
14  2 9523072 323368  49040 887624  472 29688 443240 100421 324235 433693 15  7 69  8  0
 4  1 9522316 335004  37620 887620  828    0 404932 109088 165249 387334 17  6 74  3  0
 4  1 9521624 328192  42056 890104  716    0 400020 97879 149934 375301 17  5 75  3  0
 1  2 9521092 331540  41096 882820  564    0 402800 102420 154617 401144 17  6 74  3  0
 8  1 9520416 337084  36352 883808  736    0 381700 104287 147219 338768 14  5 79  3  0
 1  0 9520280 324424  36812 894184  140    0 144948 86074 42710 61859  4  1 94  1  0
 1  0 9520204 333844  28368 893520   76    0 58904 38784 12554 7138  2  0 97  1  0
98  6 9519836 333816  32916 888420  376    0 244772 48373 92910 258404 10  3 85  2  0
29  7 9519440 333780  41548 884104  392    0 401352 79258 149150 428177 17  6 73  3  0
 6  1 9518876 334424  42804 886608  588    0 378068 104678 154350 386491 14  6 77  3  0
10  3 9518380 323960  59696 885648  472    0 403920 81720 161216 469106 19  7 71  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  2 9517948 330944  47616 885900  444    0 388584 99820 153000 382491 14  5 78  3  0
47  2 9517600 329288  50812 893168  344    0 415136 89614 161274 412865 15  6 76  4  0
 0  1 9517192 332756  46832 884036  416    0 361408 115410 155638 370669 14  5 78  3  0
49  3 9516800 329668  47304 886140  400    0 373932 108400 150095 363101 14  6 78  3  0
64  2 9516332 323680  50688 888412  520    0 377956 98508 145708 418284 15  5 77  3  0
14  1 9516020 330920  40392 887308  312    0 400584 87676 167145 493033 17  7 74  3  0
 4 21 9515652 326792  41712 890636  412    0 376916 97630 150336 444523 16  6 76  3  0
 7  0 9515416 325432  43732 889936  240    0 370536 92242 162866 367492 13  6 78  3  0
 5  1 9515056 328824  38240 888096  348    0 382684 87942 164704 358730 14  6 78  3  0
 0  2 9514780 332816  29624 888632  256    0 358476 68834 180240 465151 17  7 74  3  0
 2  3 9514424 331680  34276 886064  344    0 365876 89948 158379 352364 11  5 82  3  0
 0  2 9513896 335744  32424 884296  536    0 429896 74694 186338 474886 18  7 72  3  0
 0  1 9513640 324740  42996 884012  268    0 361208 89036 159096 306430 11  4 83  2  0
 3  1 9513360 334124  40020 883244  352    0 390884 100900 175034 368394 14  5 78  3  0
30  6 9513112 326948  42000 885200  256    0 356692 95002 156863 338308 12  5 80  2  0
 1  1 9512864 433672  86664 915412  268    0 263224 90951 150065 246094 11  4 83  2  0
 1  1 9512688 438696  60420 941224  180    0 108540 90936 40406 47578  3  2 94  1  0
 1  1 9512300 360712 102972 946532  420    0 119896 77422 42239 43943  2  2 95  1  0
 1  2 9512128 415948  74868 924700  232    0 125776 85661 48830 46300  2  3 94  1  0
 2  1 9512016 335856  92564 930940  120    0 119004 72181 33002 53062  2  2 95  1  0
 2  0 9511380 484312  95640 921624  660    0 116920 84704 64328 42038  1  4 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 9511308 422112 164516 926724   84    0 70528 84898 30209 9546  0  2 97  1  0
 3  0 9509644 364700 211952 935172 1840    0 51956 103828 34763 26582  2  2 95  1  0
 2  1 9509612 336980 239592 933004   24    0 49784 73378 33307 14945  2  2 95  1  0
 3  0 9509584 384548 210000 917812   48    0 60076 130814 53019 24413  2  3 94  1  0
 2  1 9509540 363708 229536 916000   52    0 64028 118100 56409 19373  2  3 94  1  0
 2  1 9509536 366548 232540 910660    4    0 65052 87454 47786 14991  2  2 95  1  0
 2  1 9509440 380628 218724 909560   92    0 81052 92400 50863 12257  2  2 95  1  0
 3  0 9509384 365808 233224 909096   68    0 81988 97133 55535 10946  2  2 95  1  0
 1  1 9316452 570256 248964 932484 2348    0 163444 325329 103672 58692  2  2 94  2  0
 0  2 9316276 401428 414164 940396  212    0 165976 244636 74419 21137  0  2 96  2  0
 5  0 9316012 330168 479552 944932  308    0 134940 265622 66520 22019  1  2 96  2  0
 2  0 9315800 334760 482220 936392  216    0 138152 279584 69101 21768  0  2 96  2  0
 1  1 9315656 353872 457956 938776  152    0 129332 322252 75354 27260  0  2 96  2  0
 2  1 9315648 358380 448396 940880    8    0 120116 415908 94032 45652  1  2 95  2  0
 1  1 9315604 341384 463812 943052   44    0 130556 310350 68768 24098  1  2 96  2  0
 1  1 9315536 325812 468868 954160   68    0 148676 296169 69831 26647  0  2 96  2  0
 1  1 9315484 330100 463744 956104   64    0 151968 282665 74373 26370  0  2 96  2  0
 1  1 9315416 338124 453376 956668   68    0 152796 258787 64646 24790  0  2 95  2  0
