sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 30
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 30, tps: 931.39, reads: 13068.92, writes: 3730.95, response time: 44.54ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 30, tps: 941.90, reads: 13187.10, writes: 3764.60, response time: 45.23ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 30, tps: 935.20, reads: 13077.99, writes: 3740.20, response time: 45.55ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 30, tps: 952.60, reads: 13362.11, writes: 3813.40, response time: 44.13ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 30, tps: 955.09, reads: 13372.39, writes: 3825.67, response time: 43.92ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 30, tps: 935.81, reads: 13097.09, writes: 3738.93, response time: 43.92ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 30, tps: 957.80, reads: 13402.80, writes: 3825.40, response time: 44.26ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 30, tps: 931.60, reads: 13051.21, writes: 3732.50, response time: 44.63ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 30, tps: 955.10, reads: 13373.10, writes: 3825.10, response time: 43.72ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 30, tps: 961.80, reads: 13452.29, writes: 3840.10, response time: 42.83ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 30, tps: 938.80, reads: 13149.08, writes: 3760.29, response time: 44.06ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 30, tps: 944.70, reads: 13223.72, writes: 3770.30, response time: 43.54ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 30, tps: 940.40, reads: 13164.01, writes: 3768.10, response time: 43.40ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 30, tps: 929.90, reads: 13023.30, writes: 3717.90, response time: 44.81ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 30, tps: 956.20, reads: 13392.90, writes: 3831.70, response time: 44.34ms (95%), errors: 0.00, reconnects:  0.00
