sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2169.47, reads: 30561.54, writes: 8681.88, response time: 11.88ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2738.03, reads: 38267.46, writes: 10952.13, response time: 9.15ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2805.00, reads: 39338.01, writes: 11230.00, response time: 9.07ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2863.98, reads: 40035.71, writes: 11444.92, response time: 9.03ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2896.03, reads: 40593.39, writes: 11594.11, response time: 8.97ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2957.99, reads: 41427.83, writes: 11829.95, response time: 8.67ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3037.01, reads: 42476.09, writes: 12144.03, response time: 8.42ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3019.00, reads: 42222.94, writes: 12073.98, response time: 8.44ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3028.00, reads: 42445.06, writes: 12116.02, response time: 8.29ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3118.99, reads: 43669.80, writes: 12472.94, response time: 8.22ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3157.01, reads: 44170.17, writes: 12623.05, response time: 8.00ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3173.01, reads: 44445.14, writes: 12702.04, response time: 7.90ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3158.06, reads: 44191.86, writes: 12625.25, response time: 8.29ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3281.00, reads: 45963.03, writes: 13132.01, response time: 7.77ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3344.95, reads: 46847.26, writes: 13391.79, response time: 7.45ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3353.04, reads: 46900.57, writes: 13389.16, response time: 7.56ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3360.96, reads: 47088.44, writes: 13452.84, response time: 7.53ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3363.06, reads: 47061.89, writes: 13453.25, response time: 8.13ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3358.99, reads: 47034.91, writes: 13431.97, response time: 7.82ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3393.98, reads: 47508.67, writes: 13574.91, response time: 7.74ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3408.02, reads: 47771.24, writes: 13684.07, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3386.01, reads: 47373.19, writes: 13490.05, response time: 7.64ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3268.94, reads: 45718.13, writes: 13071.75, response time: 8.28ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3270.97, reads: 45755.63, writes: 13091.89, response time: 8.14ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3240.00, reads: 45417.97, writes: 12951.99, response time: 8.69ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3254.99, reads: 45556.91, writes: 13026.97, response time: 8.77ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3310.00, reads: 46404.98, writes: 13245.99, response time: 8.12ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3476.76, reads: 48654.64, writes: 13918.04, response time: 7.47ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3356.23, reads: 46971.24, writes: 13406.92, response time: 8.18ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3426.07, reads: 47939.98, writes: 13699.28, response time: 8.04ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3359.93, reads: 47043.09, writes: 13465.74, response time: 8.14ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3461.85, reads: 48523.90, writes: 13832.40, response time: 7.79ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3440.18, reads: 48111.52, writes: 13748.72, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3470.87, reads: 48647.14, writes: 13943.47, response time: 7.66ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3432.95, reads: 48037.32, writes: 13675.81, response time: 7.76ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3487.00, reads: 48788.03, writes: 13952.01, response time: 7.85ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3496.06, reads: 48973.91, writes: 13984.26, response time: 7.75ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3707.83, reads: 51864.58, writes: 14823.31, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3497.00, reads: 48990.02, writes: 13995.01, response time: 7.45ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3545.00, reads: 49574.94, writes: 14174.98, response time: 7.51ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3613.18, reads: 50635.49, writes: 14452.71, response time: 7.26ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3595.11, reads: 50357.59, writes: 14406.46, response time: 7.35ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3545.83, reads: 49606.68, writes: 14170.34, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3568.88, reads: 49846.36, writes: 14262.53, response time: 7.59ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 3582.17, reads: 50275.38, writes: 14332.68, response time: 7.45ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 3681.83, reads: 51572.59, writes: 14730.31, response time: 7.28ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 3513.00, reads: 49172.93, writes: 14042.98, response time: 7.75ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 3557.00, reads: 49810.01, writes: 14249.00, response time: 7.94ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 3824.18, reads: 53497.53, writes: 15277.72, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 3623.83, reads: 50765.62, writes: 14496.32, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3565.00, reads: 49909.99, writes: 14290.00, response time: 7.93ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 3624.99, reads: 50695.93, writes: 14467.98, response time: 7.51ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 3710.18, reads: 51956.48, writes: 14839.71, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 3612.83, reads: 50585.66, writes: 14461.33, response time: 7.31ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 3637.00, reads: 50935.98, writes: 14550.99, response time: 7.23ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 3696.00, reads: 51692.07, writes: 14771.02, response time: 7.25ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 3706.17, reads: 51892.40, writes: 14824.69, response time: 7.02ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 3761.83, reads: 52723.55, writes: 15053.30, response time: 6.90ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 3735.00, reads: 52241.99, writes: 14949.00, response time: 7.19ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 3722.00, reads: 52129.99, writes: 14895.00, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 3690.18, reads: 51578.45, writes: 14738.70, response time: 7.15ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 3731.98, reads: 52326.68, writes: 14934.91, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 3749.05, reads: 52499.77, writes: 15007.22, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 3706.90, reads: 51893.57, writes: 14813.59, response time: 7.36ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 3792.07, reads: 53112.97, writes: 15173.28, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 3837.13, reads: 53724.81, writes: 15347.52, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 3786.82, reads: 53020.45, writes: 15150.27, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 3850.24, reads: 53919.33, writes: 15403.95, response time: 6.70ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 3820.82, reads: 53473.48, writes: 15299.28, response time: 6.94ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 3896.93, reads: 54507.96, writes: 15569.70, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 3743.00, reads: 52361.04, writes: 14985.01, response time: 7.26ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 3766.89, reads: 52770.43, writes: 15045.55, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 3856.18, reads: 53968.53, writes: 15422.72, response time: 6.68ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 3828.82, reads: 53613.52, writes: 15318.29, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 3747.00, reads: 52532.96, writes: 15003.99, response time: 6.98ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 3944.00, reads: 55162.06, writes: 15773.02, response time: 6.42ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 3767.18, reads: 52767.49, writes: 15063.71, response time: 7.00ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 3779.11, reads: 52884.51, writes: 15129.43, response time: 6.85ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 16, tps: 3786.87, reads: 52986.14, writes: 15143.47, response time: 6.86ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 3819.95, reads: 53508.30, writes: 15275.80, response time: 6.82ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 16, tps: 3814.07, reads: 53427.96, writes: 15242.27, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 16, tps: 3956.93, reads: 55346.97, writes: 15824.71, response time: 6.68ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 16, tps: 3853.27, reads: 53938.81, writes: 15436.09, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 16, tps: 3749.00, reads: 52457.99, writes: 14975.00, response time: 7.18ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 16, tps: 3847.00, reads: 53898.97, writes: 15402.99, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 16, tps: 3824.00, reads: 53534.97, writes: 15284.99, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 16, tps: 4027.01, reads: 56362.11, writes: 16106.03, response time: 5.99ms (95%), errors: 0.00, reconnects:  0.00
