procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0 702748 111939944 130172 1185656    0    0 185228 119732 207660 415734 30  8 60  1  0
12  1 702748 111897472 131084 1190324    0    0 204320 127616 206183 419027 30  8 60  1  0
20  2 702748 111855240 131120 1200016    0    0 195724 123140 214348 428660 31  8 59  2  0
21  2 702748 111797152 131384 1220124    0    0 184548 103480 202073 428875 30  9 58  3  0
15  3 702748 111766576 132476 1213852    0    0 173764 104392 203417 435233 30  9 59  2  0
19  2 702748 111722752 133476 1222664    0    0 192540 125536 206055 430915 31  9 59  1  0
19  1 702748 111677776 134540 1226608    0    0 181476 130696 202980 428462 30  9 59  1  0
27  3 702748 111644928 135564 1233972    0    0 181628 125792 204173 428402 31  9 59  1  0
24  0 702748 111602448 136612 1240084    0    0 181316 131664 205765 430093 31  9 59  1  0
19  1 702748 111550480 137616 1259068    0    0 174500 122364 215554 446383 31  9 57  2  0
31  1 702748 111525824 138480 1252560    0    0 185792 134024 208616 440448 31  9 58  1  0
 7  1 702748 111490152 138768 1256592    0    0 180896 122604 209110 430100 31  9 59  1  0
 4  3 702748 111442384 139608 1262352    0    0 191708 133932 215740 446582 32  9 58  1  0
 2  4 702748 111410320 139680 1269632    0    0 178496 121368 210391 429767 31  9 59  1  0
20  3 702748 111357104 139956 1292372    0    0 169552 124476 210022 438328 31  9 58  2  0
26  0 702748 111329984 140984 1287684    0    0 188764 129284 212860 433502 31  9 59  1  0
28  1 702748 111297392 142048 1287152    0    0 196272 133124 214060 437939 31  9 59  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27  1 702748 111269680 142800 1290028    0    0 190468 129832 205903 430289 31  9 59  1  0
21  0 702748 111236032 142812 1299200    0    0 197572 128064 215101 439319 31  9 59  1  0
23  1 702748 111177752 142848 1325608    0    0 189120 91124 209866 446402 30  9 58  2  0
 5  2 702748 111136424 142864 1334064    0    0 187756 137220 201093 433927 31  8 59  1  0
20  2 702748 111108080 142904 1340328    0    0 176112 129392 213335 437800 31  9 59  1  0
19  1 702748 111073328 143192 1346092    0    0 186680 136500 206242 430988 31  9 59  1  0
25  0 702748 111037992 143936 1350792    0    0 176076 129944 213118 437236 31  9 59  1  0
15  1 702748 111002736 143960 1360384    0    0 176024 134680 212795 441350 31  9 58  1  0
20  2 702748 110975616 143976 1362008    0    0 125848 89688 210563 439326 31  9 58  3  0
25  1 702748 110935936 144008 1371384    0    0 185100 136760 212498 442019 32  9 59  1  0
23  0 702748 110900400 144028 1376324    0    0 175992 128488 210939 436119 31  9 59  1  0
13  1 702748 110868680 144040 1381324    0    0 175272 130856 213333 441293 32  9 58  1  0
22  1 702748 110841296 144432 1392940    0    0 185060 131560 215758 438921 31  9 59  1  0
23  0 702748 110815696 144448 1392372    0    0 133076 101644 212315 442077 31  9 57  3  0
22  0 702748 110778560 144460 1398204    0    0 174832 128512 216051 443698 32  9 58  1  0
26  0 702748 110754632 144516 1403724    0    0 184320 133000 213033 438188 31  9 59  1  0
21  1 702748 110718720 144520 1411312    0    0 194628 131004 214310 438131 31  9 58  1  0
 4  5 702748 110696576 144536 1420556    0    0 193868 132352 209202 438343 31  9 58  1  0
23  0 702748 110667280 144652 1424104    0    0 164188 93708 216114 447648 31  9 58  2  0
24  0 702748 110626832 144668 1428008    0    0 182832 129012 217050 447265 32  9 58  1  0
21  1 702748 110601456 144700 1436052    0    0 172408 130628 216049 442261 31  9 59  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  1 702748 110569056 144716 1441724    0    0 173212 137740 216403 445264 31 10 58  1  0
20  1 702748 110540704 145080 1447228    0    0 173808 130528 209862 436549 31  9 59  1  0
12  1 702748 110514016 145812 1453752    0    0 182608 139460 221977 441949 31  9 58  1  0
19  1 702748 110461344 145828 1487096    0    0 169752 124468 218432 453587 32  9 57  2  0
19  1 702748 110464784 146228 1465852    0    0 143256 112572 224726 458406 31  9 58  1  0
22  0 702748 110432512 147248 1468984    0    0 162232 130268 217120 447264 31  9 59  1  0
23  0 702748 110406448 147884 1477436    0    0 181744 132782 216209 435095 31  9 59  1  0
24  1 702748 110379040 147928 1481812    0    0 182016 134824 210442 446874 31  9 59  1  0
23  0 702748 110348032 147972 1490432    0    0 131452 103444 221715 446827 31  9 58  2  0
 9  1 702748 110322624 148020 1494588    0    0 171676 131696 223359 458022 32  9 58  1  0
23  0 702748 110284688 148024 1500016    0    0 182748 132256 209677 433669 31  9 59  1  0
21  3 702748 110273632 148064 1506740    0    0 190976 201438 207084 422168 31  9 59  1  0
23  2 702748 110239104 148096 1510964    0    0 181872 130320 214877 444681 32  9 58  1  0
 6  2 702748 110222400 148592 1518288    0    0 130464 86572 223386 455944 32  9 56  3  0
11  1 702748 110188128 149104 1527528    0    0 180976 112768 215637 432072 31  9 59  1  0
 6  1 702748 110156736 149660 1532264    0    0 171724 139436 217776 450723 32  9 59  1  0
18  0 702748 110127728 150664 1538576    0    0 170668 136302 210240 435899 31  9 59  1  0
21  2 702748 110102944 151132 1543264    0    0 170944 132705 222508 448319 31  9 59  1  0
22  1 702748 110079584 151148 1550704    0    0 171360 139747 221449 450506 32  9 58  1  0
18  1 702748 110047232 151156 1566052    0    0 169872 131076 223720 456612 32  9 57  2  0
22  0 702748 110032688 151160 1566088    0    0 159676 126892 213697 433630 31  9 59  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
