procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  4 445884 23084360 1401588 90370920    0    0 260888 180791 496610 681608 29 10 59  3  0
18  0 445884 23287444 1401592 90140760    0    0 210184 127500 492146 709437 29 10 58  3  0
22  1 445884 23408052 1401604 89972240    0    0 138280 161876 507405 748881 29 10 58  4  0
19  1 445884 23634796 1401608 89710720    0    0 301080 212612 471260 729898 30 10 57  3  0
19  0 445884 23891044 1401620 89405848    0    0 371852 222977 453190 711358 30  9 58  3  0
 9  5 445884 24074200 1401624 89175104    0    0 270024 161151 471160 739920 30 11 57  3  0
23  1 445884 24289844 1401628 88957648    0    0 218424 183432 466306 736086 29 10 59  2  0
17  2 445884 24443348 1401648 88761568    0    0 134872 226292 457226 703917 27  9 59  4  0
17  1 445884 24711568 1401656 88461376    0    0 370236 205004 446758 703354 28 10 59  3  0
19  1 445884 24852312 1401664 88282576    0    0 206176 161839 489452 737130 30 10 58  3  0
18  1 445884 24963676 1401676 88119600    0    0 146292 194759 514223 760468 30  9 58  2  0
17  1 445884 25241044 1401680 87814432    0    0 358116 227400 480581 726705 30 10 58  3  0
17  4 445884 25400496 1401692 87644032    0    0 102860 103612 491910 749097 28 10 59  3  0
26  2 445884 25636196 1401696 87357536    0    0 347140 251112 464166 727661 30 10 58  3  0
19  0 445884 25852324 1401708 87096280    0    0 295888 203903 470570 711507 30  9 58  3  0
18  0 445884 26081960 1401712 86816944    0    0 242920 182915 539344 700262 29 10 59  3  0
19  1 445884 26306444 1401720 86561328    0    0 305356 223148 487669 698370 29 10 59  3  0
24  2 445884 26529668 1401732 86350120    0    0 172904 153388 534746 761040 30 10 57  4  0
19  3 445884 26774332 1401736 86056896    0    0 355588 238620 466693 716265 30 10 57  3  0
18  1 445884 27013052 1401752 85771856    0    0 304692 222539 477453 732288 30 10 58  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0 445884 27205460 1401752 85574968    0    0 193768 155123 481804 742012 29 10 58  2  0
 5  8 445884 27462292 1401760 85270960    0    0 421336 246600 464675 728805 30 10 58  2  0
21  2 445884 27660148 1401772 85071072    0    0 34536 137459 517340 765668 30  9 58  4  0
19  0 445884 27862872 1401780 84844240    0    0 262800 197431 474932 745455 30  9 58  3  0
20  1 445884 28072548 1401792 84604920    0    0 304236 226283 467751 738603 30 10 58  2  0
26  1 445884 28318376 1401800 84316416    0    0 314428 199147 461799 733882 29 10 58  2  0
23  1 445884 28542320 1401804 84083088    0    0 221564 195960 474768 743060 29 10 59  3  0
18  1 445884 28717956 1401812 83879744    0    0 159532 140480 493664 761280 29 10 58  4  0
19  0 445884 28899520 1401816 83648224    0    0 313684 189012 474312 747213 31 10 57  2  0
17  2 445884 29029768 1401832 83477504    0    0 180620 209315 499540 762288 30 10 58  2  0
24  0 445884 29255764 1401836 83219872    0    0 262068 203475 475363 736644 30 10 58  3  0
23  1 445884 29515692 1401840 82928256    0    0 303532 199968 482553 733939 30 10 57  3  0
22  1 445884 29728784 1401852 82676896    0    0 188656 159044 552902 725094 28 10 59  3  0
17  1 445884 30041896 1401856 82351760    0    0 371652 239644 497173 686806 30  9 58  3  0
22  0 445884 30276564 1401872 82081824    0    0 311532 221455 513744 740022 30 10 58  2  0
23  0 445884 30488432 1401876 81842840    0    0 270260 230883 493584 734617 30 10 58  2  0
31  2 445884 30753388 1401884 81551144    0    0 260200 162228 503618 746128 30 10 58  3  0
21  1 445884 30970704 1401896 81314040    0    0 229308 181392 497998 746999 30  9 58  3  0
19  1 445884 31210888 1401900 81103792    0    0 280312 207852 457649 711176 29  9 59  3  0
24  1 445884 31494900 1401912 80770736    0    0 320024 195543 459448 723178 29 10 59  2  0
24  0 445884 31823364 1401916 80407360    0    0 370060 171987 474881 738305 30 10 58  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  2 445884 32152920 1401920 80106080    0    0 284612 186344 485834 754574 30  9 59  2  0
18  2 445884 32251692 1401932 79999672    0    0 41848 136420 515680 799112 31 10 57  2  0
19  0 445884 32242584 1401936 79988608    0    0 13668 137956 523883 799235 31 11 57  1  0
24  1 445884 32215372 1401944 79987240    0    0 13580 201455 492914 757806 30  9 59  1  0
23  1 445884 32344016 1401948 79985024    0    0 14672 104747 515516 781000 31  9 59  1  0
20  0 445884 32335480 1401948 79984864    0    0 12452 55988 533753 790320 30  9 60  1  0
16  1 445884 32305952 1401956 79984944    0    0 13780 56016 535451 798991 29 10 60  1  0
16  1 445884 32277704 1401956 79984984    0    0 13132 56104 532899 796678 30 10 60  1  0
22  1 445884 32249436 1401964 79985040    0    0 12532 55859 512562 780778 30  9 60  1  0
19  0 445860 32233152 1401964 79985264   32    0 12740 56031 526010 773059 29 10 60  1  0
15  2 445860 32205896 1401964 79985408    0    0 12468 57592 535895 790008 30 10 60  1  0
16  1 445860 32175084 1401964 79985440    0    0 13140 56535 562327 762243 30  9 60  1  0
19  0 445860 32154360 1401968 79985472    0    0 11652 56039 602519 753527 29  9 61  1  0
14  3 445860 32147084 1401976 79985472    0    0 12180 57759 583617 764223 29 10 60  1  0
19  0 445860 32120008 1401976 79985528    0    0 12776 57375 548728 765572 29 10 60  1  0
16  1 445860 32095688 1401976 79985600    0    0 13076 62424 540790 783876 29  9 60  1  0
20  0 445860 32078044 1401976 79985616    0    0 11848 63368 536158 793929 29 10 60  1  0
16  1 445860 32070548 1401976 79985656    0    0 12016 63816 532913 802753 30  9 60  1  0
17  0 445860 32038896 1401984 79985664    0    0 11604 65201 539857 800154 30 10 59  1  0
24  0 445860 32014440 1401984 79985712    0    0 12116 63995 523585 782960 29  9 60  1  0
18  1 445860 31991736 1401984 79985744    0    0 11468 64692 522570 795558 29 10 60  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  1 445860 31963192 1401984 79985672    0    0 11476 66628 542634 814840 30 10 59  1  0
19  1 445860 31961224 1401984 79985728    0    0 11296 66708 541837 801117 30 10 59  1  0
16  1 445860 31936736 1401992 79985728    0    0 10648 68971 554163 811534 30 10 59  1  0
