sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2212.52, reads: 31062.28, writes: 8853.08, response time: 11.96ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2794.00, reads: 39137.02, writes: 11175.01, response time: 9.09ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2823.00, reads: 39571.01, writes: 11297.00, response time: 9.33ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2860.00, reads: 40044.01, writes: 11446.00, response time: 9.10ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2910.98, reads: 40753.77, writes: 11633.93, response time: 9.03ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2896.94, reads: 40583.19, writes: 11599.77, response time: 9.13ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 2967.08, reads: 41512.12, writes: 11864.32, response time: 8.67ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 2982.99, reads: 41781.91, writes: 11924.97, response time: 8.70ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3038.91, reads: 42568.74, writes: 12188.64, response time: 8.72ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3089.09, reads: 43115.33, writes: 12319.38, response time: 8.70ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3145.00, reads: 44101.01, writes: 12582.00, response time: 8.26ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3178.00, reads: 44455.07, writes: 12710.02, response time: 8.32ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3207.99, reads: 44937.90, writes: 12834.97, response time: 8.35ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3261.00, reads: 45681.02, writes: 13044.01, response time: 8.15ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3271.99, reads: 45778.90, writes: 13084.97, response time: 7.83ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3319.01, reads: 46509.18, writes: 13276.05, response time: 8.05ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3362.96, reads: 47079.48, writes: 13469.85, response time: 7.90ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3384.02, reads: 47369.29, writes: 13522.08, response time: 7.90ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3398.99, reads: 47548.88, writes: 13591.97, response time: 8.11ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3341.00, reads: 46800.04, writes: 13367.01, response time: 7.63ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3499.01, reads: 49003.17, writes: 13996.05, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3478.98, reads: 48672.73, writes: 13914.92, response time: 7.54ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3365.03, reads: 47143.42, writes: 13478.12, response time: 7.77ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3347.97, reads: 46866.59, writes: 13386.88, response time: 7.67ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3166.02, reads: 44364.31, writes: 12689.09, response time: 8.73ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3406.00, reads: 47647.97, writes: 13583.99, response time: 8.54ms (95%), errors: 0.00, reconnects:  0.00
