procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  1 702748 111702800 121724 1433808    0    0 94388 91772 215152 440962 28  9 61  2  0
18  1 702748 111600320 122552 1488000    0    0 204876 209156 208426 425415 27  9 60  3  0
20  2 702748 111491600 122816 1558484    0    0 164892 145752 216272 447367 27 10 61  3  0
22  4 702748 111591208 123816 1429396    0    0 52880 44364 214622 444643 28  9 60  4  0
23  0 702748 111423088 124932 1553196    0    0 263904 275124 203832 412775 27  9 61  3  0
26  2 702748 111367504 125920 1577048    0    0 103184 96356 214917 437811 28  9 61  2  0
16  2 702748 111328176 126668 1583620    0    0 29112 26812 215738 443165 28  9 60  3  0
25  3 702748 111379936 126724 1501876    0    0 132148 150964 206422 426121 27  9 60  4  0
19  2 702748 111203224 127504 1633984    0    0 242940 231076 214617 429696 28  9 61  2  0
19  3 702748 111260512 128500 1548340    0    0 48440 44636 214231 454491 28  9 60  3  0
 4  3 702748 111304464 129768 1472728    0    0 49384 44140 213036 444611 29  9 59  3  0
25  2 702748 111306144 130940 1434432    0    0 31688 63208 220982 447667 28  9 60  3  0
20  0 702748 111205392 131972 1509116    0    0 199580 203300 215172 433282 28  9 62  2  0
20  2 702748 110966128 132968 1707992    0    0 330456 320012 204056 401492 25  9 64  2  0
19  2 702748 110922880 133216 1714288    0    0 27356 24400 220603 443299 29  8 60  3  0
15  4 702748 111077680 133588 1541452    0    0 118712 132448 212674 437217 28  9 60  2  0
20  2 702748 110919872 134600 1659520    0    0 199164 199536 211801 423759 27  9 61  2  0
19  3 702748 110885088 135552 1666268    0    0 25748 25276 217912 451930 29  8 58  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  3 702748 110949912 135772 1572556    0    0 106232 125796 217606 434395 28  9 59  4  0
21  2 702748 110977568 136688 1520432    0    0 55428 57744 222756 450702 29  9 59  4  0
12  2 702748 110784200 136828 1682336    0    0 280148 295716 216376 423912 27  9 62  2  0
25  2 702748 110699856 137392 1731248    0    0 86232 79204 214031 439314 28  9 61  2  0
21  4 702748 110668560 137400 1737464    0    0 23120 26732 216218 453002 28  9 61  2  0
23  2 702748 110826560 137428 1558120    0    0 84256 104024 218536 448071 29  9 58  4  0
13  2 702748 110791848 137984 1565236    0    0 94692 106148 223642 449912 28  9 60  3  0
18  3 702748 110566608 138024 1755940    0    0 297940 300952 207370 423300 27 10 62  2  0
15  3 702748 110536552 138272 1761984    0    0 22760 26284 230055 457476 28  9 60  3  0
18  2 702748 110632832 139096 1640512    0    0 144256 166592 222781 445717 28  9 60  2  0
18  4 702748 110602112 139356 1647044    0    0 22256 33336 223533 451340 28  9 58  4  0
20  2 702748 110572896 139856 1652100    0    0 154332 165308 225490 436297 28  9 61  3  0
20  2 702748 110482528 140008 1712400    0    0 154796 159896 222729 428107 28  9 61  3  0
20  2 702748 110583664 140008 1588156    0    0 41980 49824 235336 455377 29  9 60  3  0
19  1 702748 110486208 140012 1661740    0    0 112504 132796 219094 441855 29  9 61  2  0
21  2 702748 110487952 140928 1640440    0    0 101704 117561 222907 433354 28  9 61  3  0
21  0 702748 110334472 141932 1755968    0    0 235216 252095 217328 432222 27 10 62  1  0
22  2 702748 110267760 142112 1804776    0    0 112684 123315 213733 427442 28  9 61  2  0
25  1 702748 110231696 142128 1818264    0    0 20184 34431 223729 450988 29  9 59  2  0
22  0 702748 110131312 142144 1896176    0    0 111024 119980 218900 443944 28 10 60  3  0
14  3 702748 110032640 142180 1963732    0    0 162496 175077 217603 432438 27  9 61  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  1 702748 110005384 142188 1971768    0    0 121672 145939 219471 442490 28  9 60  3  0
18  1 702748 109921648 142464 2032644    0    0 152468 164465 222825 451362 29  9 61  2  0
11  1 702748 109853456 143272 2072192    0    0 234300 241871 211437 427634 28  9 62  1  0
20  1 702748 109798392 143276 2108432    0    0 59760 73348 223351 453948 29 10 60  1  0
18  4 702748 109942544 144260 1949844    0    0 50376 62369 220216 449768 28  9 58  4  0
21  3 702748 109970144 144284 1900100    0    0 70624 86951 222012 450710 29  9 58  5  0
 9  1 702748 109877712 144288 1970476    0    0 161748 180517 217473 442455 28  9 61  2  0
20  3 702748 109843232 144316 1982780    0    0 100088 112155 220608 446335 29  9 60  3  0
 2  3 702748 109771896 144448 2025976    0    0 201960 247920 215748 431780 27  9 61  3  0
16  5 702748 109703696 145240 2076348    0    0 80296 131161 213774 442100 28  9 59  4  0
19  3 702748 109813776 145272 1943724    0    0 18576 40051 228372 469511 29 10 56  5  0
 7  1 702748 109653264 145292 2080376    0    0 263452 289875 217575 433850 28 10 60  2  0
18  1 702748 109537784 145336 2172664    0    0 211464 221983 214009 434678 28  9 61  2  0
20  2 702748 109549264 145384 2145732    0    0 69536 80404 232069 463018 29  9 60  3  0
21  1 702748 109523392 145432 2152040    0    0 17840 39989 226447 458316 28  9 60  3  0
24  2 702748 109670432 145472 1986540    0    0 78536 102575 221797 447564 29  9 57  5  0
16  3 702748 109541392 145512 2098216    0    0 140484 160915 217501 450760 28  9 61  2  0
27  2 702748 109508688 145556 2104296    0    0 18132 32791 228538 460608 29  9 60  3  0
15  2 702748 109551248 145604 2046792    0    0 210616 235404 212880 430052 28  9 61  2  0
26  2 702748 109591240 145648 1989700    0    0 67956 84065 226387 459839 29  9 59  3  0
21  1 702748 109428240 145688 2130092    0    0 210236 250879 224581 433558 28 10 58  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  3 702748 109349496 145708 2185208    0    0 78344 87256 221964 447657 28  9 60  3  0
 6  2 702748 109502568 145708 2020444    0    0 37024 72560 219812 446876 28  9 59  3  0
21  1 702748 109400864 145792 2104508    0    0 108192 116588 228370 451945 29  9 60  2  0
18  1 702748 109345440 145804 2140112    0    0 138572 167077 222717 452084 28  9 60  3  0
21  2 702748 109308640 145808 2155352    0    0 148956 171599 222006 445579 28 10 61  2  0
22  2 702748 109287616 146040 2161048    0    0 16900 34528 233059 472468 29  9 59  3  0
20  1 702748 109265504 147052 2161700    0    0 127908 157928 225483 443961 28  9 61  2  0
24  2 702748 109260088 147664 2148568    0    0 118568 144576 231061 446638 29  9 60  2  0
10  4 702748 109133432 148044 2253312    0    0 158788 184309 218066 433655 27  9 60  3  0
18  2 702748 109145864 148700 2223856    0    0 97316 118723 229283 453557 28  9 60  3  0
18  4 702748 109059920 148740 2287784    0    0 179080 211072 224043 442324 28 10 60  2  0
19  1 702748 109096272 148740 2237964    0    0 87028 100848 223288 444127 29  9 60  2  0
18  2 702748 109146304 148740 2174928    0    0 36208 61084 230782 454797 29  8 60  3  0
 5  2 702748 109172360 148760 2132260    0    0 66348 96205 240581 458358 29  9 58  4  0
16  2 702748 109133688 148804 2156656    0    0 117052 138927 225156 438814 28  9 61  2  0
19  1 702748 108994160 148832 2278660    0    0 188336 166144 217954 442871 28  9 60  2  0
25  1 702748 109010160 148844 2244484    0    0 87084 174844 226226 447459 29  9 60  2  0
22  4 702748 108938112 148848 2300852    0    0 158716 170876 222590 444680 28  9 61  2  0
18  2 702748 108915032 148856 2306764    0    0 15600 38961 232349 455711 29  9 59  3  0
27  2 702748 108952672 148880 2249320    0    0 158052 191659 220079 438518 28 10 59  4  0
 4  3 702748 108845480 149100 2341936    0    0 127080 151832 223101 447741 28  9 60  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  3 702748 108994416 149560 2177720    0    0 45692 66436 236955 465350 29 10 58  3  0
20  1 702748 108855968 149812 2299976    0    0 208308 255016 218388 435227 28  9 61  2  0
13  2 702748 108753376 149828 2379364    0    0 208568 226053 219663 428485 28  9 62  1  0
22  4 702748 108696720 149864 2418820    0    0 66404 90271 226793 458524 29  9 57  4  0
18  3 702748 108822040 149872 2281456    0    0 66396 111292 230685 457874 29  9 57  5  0
21  2 702748 108764744 149888 2317784    0    0 113964 145588 225128 452340 29  9 59  3  0
20  2 702748 108750880 149888 2324852    0    0 14548 40592 234781 481177 30  9 58  3  0
20  1 702748 108655888 149908 2400764    0    0 96060 131181 239691 478563 29 10 59  2  0
19  2 702748 108678904 150440 2358684    0    0 54860 81311 235925 462012 29  9 60  2  0
15  2 702748 108442584 150452 2571388    0    0 309892 353800 211956 419725 28  9 61  1  0
18  3 702748 108489520 150456 2517016    0    0 65092 83772 232083 455022 29  9 60  2  0
18  2 702748 108582696 150456 2407088    0    0 25220 51572 242878 482356 30  9 58  2  0
 5  4 702748 108524368 150468 2453976    0    0 84732 131009 225072 447615 29  9 58  4  0
24  2 702748 108461016 150480 2496128    0    0 167280 200359 218673 440865 29  9 59  3  0
20  1 702748 108482272 150752 2460836    0    0 136080 173720 223891 451134 29  9 59  2  0
11  3 702748 108406104 151704 2520008    0    0 197432 229120 223324 451073 28 10 60  2  0
21  1 702748 108348512 151840 2564036    0    0 75048 114992 234007 455473 29  9 60  2  0
21  2 702748 108330384 151852 2567908    0    0 136680 163109 226156 442307 28 10 59  3  0
21  3 702748 108301696 152100 2574248    0    0 13804 51635 240183 473139 30  9 57  4  0
21  2 702748 108405616 152180 2463936    0    0 95164 130564 225861 452879 29  9 59  3  0
18  1 702748 108218512 152192 2634040    0    0 308932 346872 211758 424683 28  9 62  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  2 702748 108239072 152284 2592640    0    0 23600 52668 234841 472496 30  9 59  2  0
25  3 702748 108324464 152668 2503392    0    0 23552 55937 231228 457936 29  9 60  2  0
22  2 702748 108278048 152812 2530904    0    0 106280 151779 230885 454835 30  9 57  4  0
 6  2 702748 108295296 153436 2500556    0    0 137008 176276 225067 457092 29 10 59  3  0
27  2 702748 108186192 153444 2591392    0    0 186940 225264 223591 453018 28  9 61  1  0
20  2 702748 108282736 153444 2482184    0    0 24244 50144 232123 454308 29  9 59  2  0
20  3 702748 108153728 153504 2589528    0    0 206736 248189 225645 442880 28 10 61  2  0
20  3 702748 108102992 153512 2622772    0    0 125788 173039 232351 455969 29  9 59  3  0
20  1 702748 108162432 153512 2552088    0    0 44316 66676 237191 468957 29  9 59  3  0
22  1 702748 108135392 153516 2567736    0    0 105200 159840 233487 464393 29  9 59  3  0
21  3 702748 108064952 153544 2626260    0    0 64148 92356 228922 464910 29  9 60  2  0
17  2 702748 108048696 153568 2626908    0    0 13296 55541 238342 470449 29 10 58  4  0
20  1 702748 107902640 153580 2760332    0    0 206920 238479 224884 438372 28  9 61  2  0
20  4 702748 107873528 153584 2769000    0    0 136184 183204 226233 446285 28  9 59  3  0
21  2 702748 107809056 153592 2822996    0    0 155652 180620 223449 445435 28 10 60  2  0
20  1 702748 107802944 153596 2818160    0    0 114892 168408 245398 455759 29 10 59  2  0
23  4 702748 107738008 153608 2858764    0    0 115552 139273 232593 456340 29  9 60  2  0
19  3 702748 107724016 153608 2865132    0    0 12656 50995 238272 468871 29  9 57  4  0
21  0 702748 107748096 153640 2827460    0    0 186992 230724 228072 448180 29 10 58  3  0
28  2 702748 107613840 153644 2938288    0    0 185540 225816 226468 451737 29  9 60  1  0
11  3 702748 107598352 153644 2944240    0    0 12220 41496 228257 465282 29  9 60  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  3 702748 107798040 153656 2738916    0    0 22316 63973 228681 453353 29  9 60  3  0
19  2 702748 107749016 153664 2769180    0    0 104500 158695 234353 460173 29  9 58  4  0
17  1 702748 107759344 153668 2752924    0    0 83908 144664 238477 467621 30  9 59  2  0
 5  2 702748 107545680 153676 2943852    0    0 257524 289752 221858 441872 28 10 61  1  0
19  2 702748 107532792 153676 2949964    0    0 12060 54300 238977 467914 29  9 58  3  0
22  2 702748 107632416 153688 2834660    0    0 124236 175713 233128 462154 29 10 59  2  0
25  4 702748 107717712 153856 2739836    0    0 22100 60927 233888 466973 29  9 60  2  0
 4  2 702748 107484960 153864 2951908    0    0 257768 304212 223275 434712 29  9 60  2  0
20  1 702748 107465648 153864 2960764    0    0 135028 181326 237785 451378 29 10 60  1  0
29  2 702748 107445104 153868 2966740    0    0 12104 51712 240937 470466 29  9 59  2  0
22  0 702748 107606992 153880 2800264    0    0 63288 118861 236957 464355 29 10 59  2  0
22  2 702748 107492872 153892 2903944    0    0 155740 264739 217902 436828 28 10 61  2  0
19  3 702748 107463368 153988 2910408    0    0 11960 60672 241537 471479 29  9 56  5  0
 6  2 702748 107383808 154052 2975192    0    0 287688 337720 218455 424523 27 10 60  2  0
18  2 702748 107348128 154056 3005648    0    0 32336 72180 228140 452655 29  9 59  2  0
18  3 702748 107510928 154068 2837996    0    0 32728 73749 229782 457475 29  9 59  3  0
19  1 702748 107470544 154376 2854160    0    0 52896 123239 237738 459020 29  9 60  2  0
18  1 702748 107327704 154388 2986236    0    0 185360 227772 221868 440707 28  9 61  2  0
22  0 702748 107222208 154392 3079048    0    0 225808 285448 218860 431481 29  9 61  1  0
18  3 702748 107177392 154400 3107204    0    0 123464 163032 226805 439420 28  9 61  2  0
 5  3 702748 107185768 154408 3081164    0    0 22476 63729 233740 456583 29  9 59  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  1 702748 107324568 154408 2937780    0    0 21732 71399 235941 461413 30  9 58  3  0
20  3 702748 107348800 154444 2908400    0    0 52432 112248 230417 458846 29  9 58  4  0
