sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2211.53, reads: 31116.33, writes: 8856.10, response time: 11.87ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 2661.01, reads: 37230.12, writes: 10637.03, response time: 9.93ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 2815.00, reads: 39400.03, writes: 11259.01, response time: 9.11ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 2867.99, reads: 40194.90, writes: 11476.97, response time: 9.27ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 2836.01, reads: 39708.11, writes: 11337.03, response time: 9.54ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 2962.98, reads: 41467.75, writes: 11851.93, response time: 8.87ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3020.02, reads: 42262.24, writes: 12088.07, response time: 8.57ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3054.00, reads: 42787.97, writes: 12227.99, response time: 8.38ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3079.88, reads: 43116.39, writes: 12310.54, response time: 8.45ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 3113.13, reads: 43593.76, writes: 12459.50, response time: 8.28ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 3129.00, reads: 43760.98, writes: 12499.99, response time: 8.65ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 3163.97, reads: 44378.54, writes: 12669.87, response time: 8.38ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 3220.03, reads: 45007.38, writes: 12864.11, response time: 8.61ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 3227.99, reads: 45246.79, writes: 12917.94, response time: 8.14ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 3304.00, reads: 46201.95, writes: 13212.99, response time: 8.00ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 3337.01, reads: 46767.15, writes: 13353.04, response time: 7.94ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 3298.01, reads: 46187.12, writes: 13204.03, response time: 8.05ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 3370.97, reads: 47116.56, writes: 13463.87, response time: 8.01ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 3440.03, reads: 48179.49, writes: 13764.14, response time: 7.64ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 3487.01, reads: 48817.10, writes: 13948.03, response time: 7.66ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 3416.97, reads: 47792.53, writes: 13668.87, response time: 7.80ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 3249.02, reads: 45558.34, writes: 13000.10, response time: 8.18ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3258.00, reads: 45568.94, writes: 13030.98, response time: 8.74ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 3337.98, reads: 46782.72, writes: 13343.92, response time: 8.76ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3334.02, reads: 46651.32, writes: 13351.09, response time: 8.37ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 3359.00, reads: 47046.97, writes: 13432.99, response time: 8.01ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 3378.00, reads: 47278.00, writes: 13507.00, response time: 8.48ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3281.99, reads: 45960.90, writes: 13131.97, response time: 8.59ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3414.97, reads: 47798.59, writes: 13655.88, response time: 8.17ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 3338.04, reads: 46721.51, writes: 13351.15, response time: 8.62ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3419.01, reads: 47903.10, writes: 13686.03, response time: 7.94ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3462.99, reads: 48443.91, writes: 13844.97, response time: 8.02ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 3427.00, reads: 47960.93, writes: 13718.98, response time: 8.13ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 3452.98, reads: 48406.75, writes: 13808.93, response time: 8.22ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 3416.01, reads: 47815.20, writes: 13683.06, response time: 8.50ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 3555.02, reads: 49767.28, writes: 14214.08, response time: 7.76ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 3487.00, reads: 48809.94, writes: 13933.98, response time: 8.11ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 3573.99, reads: 49965.86, writes: 14283.96, response time: 7.75ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 3619.01, reads: 50761.07, writes: 14486.02, response time: 7.61ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 3666.00, reads: 51272.99, writes: 14662.00, response time: 7.47ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 3607.99, reads: 50571.89, writes: 14464.97, response time: 7.48ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3693.97, reads: 51577.57, writes: 14730.88, response time: 7.27ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 3627.04, reads: 50914.52, writes: 14512.15, response time: 7.36ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 3724.01, reads: 52071.08, writes: 14899.02, response time: 7.26ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 3709.00, reads: 51983.94, writes: 14836.98, response time: 7.35ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 3703.96, reads: 51830.46, writes: 14813.85, response time: 7.54ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 3628.04, reads: 50780.53, writes: 14521.15, response time: 7.77ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 3520.01, reads: 49263.12, writes: 14076.03, response time: 8.04ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 3478.99, reads: 48720.90, writes: 13915.97, response time: 8.65ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 3564.99, reads: 49917.89, writes: 14258.97, response time: 7.90ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3667.99, reads: 51393.82, writes: 14683.95, response time: 7.49ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 3466.02, reads: 48445.21, writes: 13851.06, response time: 8.76ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 3499.01, reads: 48991.07, writes: 13987.02, response time: 8.57ms (95%), errors: 0.00, reconnects:  0.00
