
  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sdb         6.0     4.0     0.0     0%    0.0     0.7     7.0    14.9     0.1    77%    0.0     0.8   2%      0    13.0    0.1   0.7
  1.0 sdb2        6.0     4.0     0.0     0%    0.0     0.7     7.0    14.9     0.1    77%    0.0     0.8   2%      0    13.0    0.1   0.7
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     7.0    14.9     0.1    77%    0.0     0.9   2%      0     7.0    0.1   0.8
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     7.0    14.9     0.1    77%    0.0     0.9   2%      0     7.0    0.1   0.8
  1.0 md1         6.0     4.0     0.0     0%    0.0     0.0    25.0     4.0     0.1     0%    0.0     0.0   0%      0    31.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 17040.1    15.0   249.5     0%    5.6     0.3  3945.0     6.0    23.1     0%    0.2     0.0 100%      7 20985.1    0.2   0.0
  1.0 sdb         8.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.0
  1.0 sdb2        8.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.0
  1.0 sdc         1.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   4.0
  1.0 sdc2        1.0     4.0     0.0     0%    0.0     4.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   4.0
  1.0 md1         9.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     9.0    0.0   0.0

  1.0 nvme0n1 16295.9    14.9   237.5     0%    5.3     0.3  4052.0     6.0    23.6     0%    0.2     0.0 100%      4 20347.8    0.2   0.0
  1.0 sdb         8.0     4.0     0.0     0%    0.0     0.5     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.5
  1.0 sdb2        8.0     4.0     0.0     0%    0.0     0.5     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.5
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         8.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.0

  1.0 nvme0n1 15635.1    14.9   226.8     0%    5.2     0.3  4113.0     6.0    24.0     0%    0.2     0.0 100%      3 19748.1    0.2   0.1
  1.0 sdb        12.0     4.0     0.0     0%    0.0     1.0    18.0     4.7     0.1    18%    0.0     0.9   3%      0    30.0    0.1   0.8
  1.0 sdb2       12.0     4.0     0.0     0%    0.0     1.0    18.0     4.7     0.1    18%    0.0     0.9   3%      0    30.0    0.1   0.8
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0    18.0     4.7     0.1    18%    0.0     0.9   2%      0    18.0    0.0   0.9
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0    18.0     4.7     0.1    18%    0.0     0.9   2%      0    18.0    0.0   0.9
  1.0 md1        12.0     4.0     0.0     0%    0.0     0.0    16.0     5.0     0.1     0%    0.0     0.0   0%      0    28.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 14308.9    14.8   206.6     0%    4.4     0.3  3990.0     6.0    23.4     0%    0.2     0.0  98%      8 18298.9    0.2   0.1
  1.0 sdb        10.0     4.0     0.0     0%    0.0     1.2     0.0     0.0     0.0     0%    0.0     0.0   1%      0    10.0    0.0   1.2
  1.0 sdb2       10.0     4.0     0.0     0%    0.0     1.2     0.0     0.0     0.0     0%    0.0     0.0   1%      0    10.0    0.0   1.2
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1        10.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0    10.0    0.0   0.0

  1.0 nvme0n1 13823.1    14.7   198.6     0%    4.3     0.3  4103.0     6.0    24.2     0%    0.3     0.1  99%      8 17926.1    0.2   0.1
  1.0 sdb         7.0     4.0     0.0     0%    0.0     0.6     7.0    20.0     0.1    82%    0.0     0.7   3%      0    14.0    0.1   0.6
  1.0 sdb2        7.0     4.0     0.0     0%    0.0     0.6     7.0    20.0     0.1    82%    0.0     0.7   3%      0    14.0    0.1   0.6
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     7.0    20.0     0.1    82%    0.0     0.9   3%      0     7.0    0.1   0.8
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     7.0    20.0     0.1    82%    0.0     0.9   3%      0     7.0    0.1   0.8
  1.0 md1         7.0     4.0     0.0     0%    0.0     0.0    34.0     4.0     0.1     0%    0.0     0.0   0%      0    41.0    0.0   0.0

  1.0 nvme0n1 13401.0    14.7   191.8     0%    4.2     0.3  4131.0     5.9    23.8     0%    0.2     0.0  99%      6 17532.0    0.2   0.1
  1.0 sdb        10.0     4.0     0.0     0%    0.0     0.8     0.0     0.0     0.0     0%    0.0     0.0   1%      0    10.0    0.0   0.8
  1.0 sdb2       10.0     4.0     0.0     0%    0.0     0.8     0.0     0.0     0.0     0%    0.0     0.0   1%      0    10.0    0.0   0.8
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1        10.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0    10.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 12813.0    14.6   182.6     0%    4.2     0.3  4178.0     5.9    23.9     0%    0.2     0.0  97%      7 16991.0    0.2   0.1
  1.0 sdb         8.0     4.0     0.0     0%    0.0     1.5     0.0     0.0     0.0     0%    0.0     0.0   1%      0     8.0    0.0   1.5
  1.0 sdb2        8.0     4.0     0.0     0%    0.0     1.5     0.0     0.0     0.0     0%    0.0     0.0   1%      0     8.0    0.0   1.5
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         8.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     8.0    0.0   0.0

  1.0 nvme0n1 12057.0    14.5   170.9     0%    4.0     0.3  4173.0     5.9    24.0     0%    0.2     0.0  99%      3 16229.9    0.2   0.1
  1.0 sdb        16.0     4.0     0.1     0%    0.0     0.8   145.0    12.2     1.7    21%    0.2     1.1   4%      0   161.0    0.9   0.2
  1.0 sdb2       16.0     4.0     0.1     0%    0.0     0.8   145.0    12.2     1.7    21%    0.2     1.1   4%      0   161.0    0.9   0.2
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0   144.0    12.3     1.7    21%    0.3     1.4   3%      0   144.0    1.2   0.2
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0   144.0    12.3     1.7    21%    0.3     1.4   3%      0   144.0    1.2   0.2
  1.0 md1        16.0     4.0     0.1     0%    0.0     0.0   176.0    10.0     1.7     0%    0.0     0.0   0%      0   192.0    0.0   0.0

  1.0 nvme0n1 11520.0    14.4   162.3     0%    3.9     0.3  4177.0     5.9    24.1     0%    0.2     0.0  98%      7 15697.0    0.2   0.1
  1.0 sdb         7.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     7.0    0.0   0.0
  1.0 sdb2        7.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     7.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         7.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     7.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1 11119.0    14.3   155.3     0%    3.4     0.3  4219.0     5.9    24.2     0%    0.2     0.0  98%      8 15338.0    0.2   0.1
  1.0 sdb         8.0     8.5     0.1     0%    0.0     1.0     7.0    45.1     0.3    92%    0.0     0.2   2%      0    15.0    0.0   0.3
  1.0 sdb2        8.0     8.5     0.1     0%    0.0     1.0     7.0    45.1     0.3    92%    0.0     0.2   2%      0    15.0    0.0   0.3
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     7.0    45.1     0.3    92%    0.0     0.3   2%      0     7.0    0.0   0.2
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     7.0    45.1     0.3    92%    0.0     0.3   2%      0     7.0    0.0   0.2
  1.0 md1         8.0     8.5     0.1     0%    0.0     0.0    78.0     4.0     0.3     0%    0.0     0.0   0%      0    86.0    0.0   0.0

  1.0 nvme0n1 10559.9    14.2   146.6     0%    3.5     0.3  4288.0     5.9    24.6     0%    0.2     0.0  98%      5 14847.9    0.2   0.1
  1.0 sdb         9.0     4.0     0.0     0%    0.0     0.9     0.0     0.0     0.0     0%    0.0     0.0   1%      0     9.0    0.0   0.9
  1.0 sdb2        9.0     4.0     0.0     0%    0.0     0.9     0.0     0.0     0.0     0%    0.0     0.0   1%      0     9.0    0.0   0.9
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         9.0     4.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     9.0    0.0   0.0

  1.0 nvme0n1  9968.1    14.2   138.0     0%    3.3     0.3  4255.0     5.8    24.0     0%    0.2     0.0  98%      4 14223.1    0.2   0.1
  1.0 sda        38.0     4.0     0.1     0%    0.0     1.1     1.0     4.0     0.0    50%    0.0     0.0   4%     11    39.0    0.5   1.1
  1.0 sda1       38.0     4.0     0.1     0%    0.0     1.1     1.0     4.0     0.0    50%    0.0     0.0   4%     11    39.0    0.5   1.1
  1.0 sdb       143.0    64.8     9.0     0%    0.1     0.4     0.0     0.0     0.0     0%    0.0     0.0   5%      0   143.0    0.0   0.4
  1.0 sdb2      143.0    64.8     9.0     0%    0.1     0.4     0.0     0.0     0.0     0%    0.0     0.0   5%      0   143.0    0.0   0.4
  1.0 sdc        18.0    50.2     0.9     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0    18.0    0.0   0.0
  1.0 sdc2       18.0    50.2     0.9     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0    18.0    0.0   0.0
  1.0 md1       161.0    63.1     9.9     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0   161.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 nvme0n1  9444.0    14.1   129.6     0%    2.9     0.3  4477.0     5.7    24.8     0%    0.2     0.0  96%      4 13921.0    0.2   0.1
  1.0 sda         5.0     4.0     0.0     0%    0.0     3.2    97.0   845.4    80.1    10%    1.1    10.2  25%      0   102.0    8.4   2.2
  1.0 sda1        5.0     4.0     0.0     0%    0.0     3.2    97.0   845.4    80.1    10%    1.1    10.2  25%      0   102.0    8.4   2.2
  1.0 sdb         7.0     4.0     0.0     0%    0.0     0.6     8.0     2.0     0.0     0%    0.0     1.5   2%      0    15.0    0.0   1.1
  1.0 sdb2        7.0     4.0     0.0     0%    0.0     0.6     8.0     2.0     0.0     0%    0.0     1.5   2%      0    15.0    0.0   1.1
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     8.0     2.0     0.0     0%    0.0     1.5   1%      0     8.0    0.0   1.5
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     8.0     2.0     0.0     0%    0.0     1.5   1%      0     8.0    0.0   1.5
