sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 2677.76, reads: 37659.63, writes: 10721.04, response time: 10.81ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 3465.01, reads: 48480.09, writes: 13852.03, response time: 8.26ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 3464.01, reads: 48510.08, writes: 13857.02, response time: 8.72ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 3557.00, reads: 49821.97, writes: 14230.99, response time: 8.42ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 3700.01, reads: 51748.20, writes: 14797.06, response time: 7.97ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 3648.00, reads: 51088.98, writes: 14601.99, response time: 8.07ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 3870.00, reads: 54182.02, writes: 15476.01, response time: 7.62ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 3901.00, reads: 54603.01, writes: 15614.00, response time: 7.84ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 3980.99, reads: 55741.90, writes: 15904.97, response time: 7.51ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 4071.99, reads: 57000.82, writes: 16297.95, response time: 7.30ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 4161.00, reads: 58299.04, writes: 16649.01, response time: 6.85ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 4189.99, reads: 58645.85, writes: 16751.96, response time: 6.98ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 4195.02, reads: 58718.26, writes: 16779.07, response time: 7.23ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 4250.00, reads: 59519.02, writes: 16994.01, response time: 7.22ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 4394.97, reads: 61554.62, writes: 17592.89, response time: 6.64ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 4306.03, reads: 60264.45, writes: 17233.13, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 4485.00, reads: 62791.96, writes: 17932.99, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 4528.00, reads: 63398.04, writes: 18100.01, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 4537.00, reads: 63500.97, writes: 18144.99, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 4540.01, reads: 63535.08, writes: 18171.02, response time: 6.46ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 4604.98, reads: 64517.72, writes: 18417.92, response time: 6.45ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 4175.00, reads: 58411.03, writes: 16699.01, response time: 7.72ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 4133.01, reads: 57891.13, writes: 16538.04, response time: 7.53ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 4333.99, reads: 60628.89, writes: 17326.97, response time: 7.25ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 4279.01, reads: 59916.10, writes: 17111.03, response time: 7.71ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4377.00, reads: 61263.05, writes: 17514.02, response time: 7.53ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 4269.98, reads: 59760.73, writes: 17078.92, response time: 7.41ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 4249.02, reads: 59537.21, writes: 16997.06, response time: 7.85ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 4386.00, reads: 61401.06, writes: 17544.02, response time: 7.28ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 4326.00, reads: 60569.99, writes: 17302.00, response time: 7.31ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 4313.00, reads: 60366.95, writes: 17260.99, response time: 7.42ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 4643.00, reads: 65032.07, writes: 18572.02, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 4693.99, reads: 65690.85, writes: 18778.96, response time: 6.77ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 4474.01, reads: 62608.16, writes: 17882.05, response time: 7.34ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 4419.99, reads: 61892.84, writes: 17683.96, response time: 7.15ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 4908.01, reads: 68726.13, writes: 19634.04, response time: 5.66ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 4537.97, reads: 63443.59, writes: 18143.88, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 4460.03, reads: 62565.40, writes: 17840.11, response time: 7.06ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 4543.00, reads: 63583.02, writes: 18182.01, response time: 7.22ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 4598.00, reads: 64413.02, writes: 18391.00, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 4998.00, reads: 69956.99, writes: 19997.00, response time: 5.71ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 4715.99, reads: 66005.87, writes: 18849.96, response time: 6.75ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 4358.01, reads: 60971.10, writes: 17459.03, response time: 7.30ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 4524.99, reads: 63284.93, writes: 18074.98, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 4546.01, reads: 63756.09, writes: 18185.02, response time: 7.22ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 4379.99, reads: 61353.92, writes: 17576.98, response time: 7.62ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 4445.00, reads: 62197.03, writes: 17723.01, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 4641.98, reads: 64909.77, writes: 18564.93, response time: 6.77ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 4682.00, reads: 65622.05, writes: 18728.01, response time: 6.84ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 4598.02, reads: 64372.25, writes: 18418.07, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 4793.91, reads: 67149.71, writes: 19157.63, response time: 6.47ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 5116.10, reads: 71607.33, writes: 20474.38, response time: 5.41ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 4889.92, reads: 68475.90, writes: 19550.69, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 4891.08, reads: 68407.06, writes: 19568.30, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 4640.99, reads: 64985.89, writes: 18555.97, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 4731.98, reads: 66274.75, writes: 18946.93, response time: 6.81ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 5032.02, reads: 70411.33, writes: 20107.09, response time: 5.96ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 4912.00, reads: 68805.01, writes: 19646.00, response time: 6.38ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 4584.98, reads: 64082.69, writes: 18338.91, response time: 7.15ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 4601.02, reads: 64556.33, writes: 18416.10, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 4580.00, reads: 64101.94, writes: 18311.98, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 4630.00, reads: 64787.03, writes: 18520.01, response time: 7.04ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 4598.00, reads: 64385.06, writes: 18393.02, response time: 6.99ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 4639.99, reads: 64927.85, writes: 18562.96, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 4623.99, reads: 64726.93, writes: 18501.98, response time: 6.85ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 4692.02, reads: 65705.24, writes: 18767.07, response time: 6.87ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 5195.99, reads: 72746.85, writes: 20785.96, response time: 5.41ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 4820.00, reads: 67525.06, writes: 19282.02, response time: 6.89ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 4654.99, reads: 65174.81, writes: 18638.95, response time: 6.92ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 5138.01, reads: 71905.16, writes: 20528.05, response time: 5.56ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 4831.98, reads: 67612.74, writes: 19315.92, response time: 6.71ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 4968.03, reads: 69623.44, writes: 19882.13, response time: 6.29ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 5029.98, reads: 70341.78, writes: 20114.94, response time: 5.97ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 4776.99, reads: 66890.81, writes: 19107.95, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 4729.02, reads: 66112.24, writes: 18911.07, response time: 6.63ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 4690.01, reads: 65819.08, writes: 18808.02, response time: 6.92ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 4956.99, reads: 69395.84, writes: 19833.95, response time: 6.02ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 4904.00, reads: 68587.96, writes: 19570.99, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 16, tps: 4597.99, reads: 64436.86, writes: 18395.96, response time: 6.92ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 4676.02, reads: 65375.34, writes: 18695.10, response time: 6.99ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 16, tps: 4768.00, reads: 66790.94, writes: 19075.98, response time: 6.95ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 16, tps: 4979.00, reads: 69666.95, writes: 19916.99, response time: 6.24ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 16, tps: 5216.01, reads: 73080.11, writes: 20870.03, response time: 5.44ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 16, tps: 4723.00, reads: 66146.03, writes: 18888.01, response time: 6.93ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 16, tps: 4747.00, reads: 66471.95, writes: 18980.98, response time: 7.21ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 16, tps: 4725.00, reads: 66144.06, writes: 18952.02, response time: 6.86ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 16, tps: 4392.99, reads: 61475.93, writes: 17523.98, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 16, tps: 4803.99, reads: 67246.87, writes: 19242.96, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 16, tps: 4891.01, reads: 68487.21, writes: 19547.06, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 4898.00, reads: 68539.03, writes: 19584.01, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 16, tps: 5006.90, reads: 70150.56, writes: 20067.59, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 16, tps: 4968.09, reads: 69506.30, writes: 19838.37, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 16, tps: 5016.00, reads: 70224.03, writes: 20052.01, response time: 5.97ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 16, tps: 4798.00, reads: 67161.98, writes: 19189.00, response time: 6.72ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 16, tps: 4608.99, reads: 64566.93, writes: 18469.98, response time: 7.24ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 16, tps: 4784.01, reads: 66929.17, writes: 19113.05, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 16, tps: 4758.99, reads: 66624.86, writes: 19039.96, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 16, tps: 5263.99, reads: 73694.92, writes: 21055.98, response time: 5.46ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 16, tps: 4913.00, reads: 68789.05, writes: 19644.02, response time: 6.46ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 4663.99, reads: 65297.90, writes: 18658.97, response time: 7.35ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 16, tps: 4777.99, reads: 66925.90, writes: 19113.97, response time: 6.94ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 16, tps: 5157.03, reads: 72161.42, writes: 20639.12, response time: 5.65ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 16, tps: 5017.97, reads: 70280.53, writes: 20051.87, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 16, tps: 4716.00, reads: 65943.07, writes: 18884.02, response time: 6.94ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 16, tps: 4665.99, reads: 65404.81, writes: 18659.95, response time: 6.83ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 16, tps: 4735.03, reads: 66314.35, writes: 18927.10, response time: 6.73ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 16, tps: 4698.01, reads: 65716.11, writes: 18800.03, response time: 7.27ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 16, tps: 4715.00, reads: 66043.05, writes: 18854.01, response time: 7.02ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 16, tps: 4877.01, reads: 68291.08, writes: 19502.02, response time: 6.79ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 5254.99, reads: 73568.88, writes: 21016.97, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[ 111s] threads: 16, tps: 5428.99, reads: 75986.79, writes: 21722.94, response time: 5.06ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 16, tps: 5326.02, reads: 74541.22, writes: 21304.06, response time: 5.20ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 16, tps: 5366.00, reads: 75173.02, writes: 21460.01, response time: 5.16ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 16, tps: 5266.00, reads: 73690.94, writes: 21071.98, response time: 5.36ms (95%), errors: 0.00, reconnects:  0.00
